,Frequency,PMI,t-test,Chi-Sq Test
0,"('büyük', 'millet')","('mi̇llet', 'mecli̇si̇')","('büyük', 'millet')","('dengi̇r', 'mi̇r')"
1,"('türkiye', 'büyük')","('i̇spirto', 'i̇spirtolu')","('türkiye', 'büyük')","('nazli', 'ilicak')"
2,"('soru', 'önergesi')","('apar', 'topar')","('soru', 'önergesi')","('bi̇lgi̇', 'teknoloji̇')"
3,"('millet', 'meclisi')","('hadi̇', 'di̇lekçi̇')","('millet', 'meclisi')","('mücahi̇t', 'hi̇moğlu')"
4,"('kabul', 'kabul')","('ci̇han', 'paçaci')","('kabul', 'kabul')","('rasi̇m', 'zai̇moğlu')"
5,"('başkan', 'teşekkür')","('remzi̇', 'çeti̇n')","('başkan', 'teşekkür')","('yasi̇n', 'hati̇boğlu')"
6,"('önergesi', 'geliş')","('tevhidi', 'tedrisat')","('önergesi', 'geliş')","('nedi̇m', 'bi̇lgi̇ç')"
7,"('geliş', 'tarihi')","('hali̇t', 'dağli')","('geliş', 'tarihi')","('vahi̇t', 'kayrici')"
8,"('sözlü', 'soru')","('gerçekleşmeyen', 'gerçekleşemeyecek')","('sözlü', 'soru')","('tasari', 'tekli̇fleri̇yle')"
9,"('böyle', 'bir')","('hayri̇', 'kozakçioğlu')","('partisi', 'grubu')","('haci', 'fi̇li̇z')"
10,"('000', '000')","('i̇spirtolu', 'i̇çkiler')","('000', '000')","('başkanlarinin', 'konuşmalari')"
11,"('partisi', 'grubu')","('bankerlerin', 'i̇şlemleri')","('böyle', 'bir')","('mi̇llet', 'mecli̇si̇')"
12,"('kanun', 'hükmünde')","('peş', 'peşe')","('kanun', 'hükmünde')","('hani̇fi̇', 'ti̇ryaki̇')"
13,"('plan', 'bütçe')","('nedi̇m', 'bi̇lgi̇ç')","('plan', 'bütçe')","('tekli̇fleri̇yle', 'komi̇syonlardan')"
14,"('ilişkin', 'sorusu')","('sebahat', 'vardar')","('ilişkin', 'sorusu')","('tarim', 'köyi̇şleri̇')"
