,bigram,chi-sq
0,"('dengi̇r', 'mi̇r')",6766202.0
1,"('nazli', 'ilicak')",6735618.339574132
2,"('bi̇lgi̇', 'teknoloji̇')",6704125.761452073
3,"('mücahi̇t', 'hi̇moğlu')",6702368.915078968
4,"('rasi̇m', 'zai̇moğlu')",6699865.69606365
5,"('yasi̇n', 'hati̇boğlu')",6680932.701385871
6,"('nedi̇m', 'bi̇lgi̇ç')",6657068.725797581
7,"('vahi̇t', 'kayrici')",6639728.971932161
8,"('tasari', 'tekli̇fleri̇yle')",6635705.0316375615
9,"('haci', 'fi̇li̇z')",6619108.695626149
10,"('başkanlarinin', 'konuşmalari')",6597044.999977521
11,"('mi̇llet', 'mecli̇si̇')",6561164.60605602
12,"('hani̇fi̇', 'ti̇ryaki̇')",6453912.892281471
13,"('tekli̇fleri̇yle', 'komi̇syonlardan')",6436683.49722151
14,"('tarim', 'köyi̇şleri̇')",6373802.96591393
15,"('otomatik', 'cihaz')",6308552.43181005
16,"('fahretti̇n', 'kukaraci')",6194097.139041758
17,"('melda', 'bayer')",6135383.557549904
18,"('vehbi̇', 'hati̇poğlu')",6081010.485368749
19,"('hadi̇', 'di̇lekçi̇')",6075768.734664681
20,"('cafer', 'tufan')",6005882.638134864
21,"('peş', 'peşe')",5989746.393393167
22,"('i̇spirto', 'i̇spirtolu')",5970905.445344983
23,"('üyeli̇klere', 'seçi̇m')",5925412.94634329
24,"('emi̇n', 'karaa')",5865831.995058649
25,"('necmi̇', 'hoşver')",5841835.879277377
26,"('açiklamalar', 'sataşmalara')",5831796.727902773
27,"('maliki', 'ejder')",5785565.884699184
28,"('sadri̇', 'yildirim')",5654478.770024708
29,"('hi̇kmet', 'sami̇')",5644389.913389082
30,"('enine', 'boyuna')",5553797.521298531
31,"('i̇zzet', 'baysal')",5540354.929964958
32,"('abant', 'i̇zzet')",5527349.964253776
33,"('ni̇dai̇', 'seven')",5443318.460030163
34,"('arikan', 'bedük')",5390633.410353342
35,"('apar', 'topar')",5378256.769201634
36,"('esvet', 'özdoğu')",5351977.358144789
37,"('hüsnü', 'yusuf')",5307769.37185738
38,"('fethullah', 'erbaş')",5189939.571573804
39,"('abdüllati̇f', 'şener')",5089274.882571453
40,"('amerika', 'birleşik')",5083337.95133717
41,"('sebahattin', 'karakelle')",5058177.517938253
42,"('fevzi̇', 'ayteki̇n')",5039906.580703271
43,"('talim', 'terbiye')",5021066.272150478
44,"('lütfü', 'esengün')",4995658.565271343
45,"('komi̇syonlarda', 'açik')",4976055.042083949
46,"('hali̇t', 'dağli')",4947774.487436788
47,"('sanayi̇', 'ti̇caret')",4934649.781461792
48,"('born', 'investment')",4900634.886169865
49,"('remzi̇', 'çeti̇n')",4871655.359946368
50,"('kamer', 'genç')",4858260.763872216
51,"('şevki̇', 'erek')",4847387.46181747
52,"('sataşmalara', 'i̇li̇şki̇n')",4793276.085119942
53,"('şoförler', 'otomobilciler')",4793052.529545261
54,"('üyeliğinden', 'çekildiğine')",4770291.984601917
55,"('mai̇l', 'büyükerman')",4751809.129398575
56,"('hali̇l', 'çalik')",4727455.590145384
57,"('ni̇hat', 'gökbulut')",4697413.401972148
58,"('gerçekleşmeyen', 'gerçekleşemeyecek')",4686534.025895259
59,"('komi̇syonu', 'başkani')",4650260.741398007
60,"('hikmet', 'sami')",4627560.671124024
61,"('merve', 'safa')",4616893.829878104
62,"('nami̇', 'çağan')",4551790.538577332
63,"('veysel', 'candan')",4550314.219116464
64,"('beki̇r', 'sobaci')",4537874.857914549
65,"('suat', 'pamukçu')",4494061.354265808
66,"('hayretti̇n', 'özdemi̇r')",4471307.148559059
67,"('dengir', 'mir')",4462259.221555543
68,"('bildiriminin', 'sunulduğuna')",4413785.311056007
69,"('deği̇şi̇kli̇k', 'yapilmasina')",4405869.022875959
70,"('altan', 'karapaşaoğlu')",4310383.704544436
71,"('alaattin', 'sever')",4283756.008932486
72,"('tevhidi', 'tedrisat')",4278960.92501493
73,"('tutanak', 'özeti̇')",4278817.1990078585
74,"('yakup', 'budak')",4240602.160835656
75,"('ci̇han', 'paçaci')",4233269.381454132
76,"('birleşmiş', 'milletler')",4213221.937206495
77,"('ufuk', 'söylemez')",4197501.168099752
78,"('emrehan', 'halici')",4178162.3536781953
79,"('şevket', 'bülend')",4172553.1134118102
80,"('cevat', 'ayhan')",4138924.573076366
81,"('nai̇l', 'çelebi̇')",4091150.790065686
82,"('mukadder', 'başeğmez')",4071945.773543286
83,"('cumhur', 'ersümer')",4052570.138169686
84,"('sebahat', 'vardar')",4010818.945712271
85,"('abbas', 'bozyel')",4009297.9155463986
86,"('nevzat', 'ercan')",4002090.0536301616
87,"('torbaya', 'torbadan')",4002087.397834875
88,"('kemik', 'iliği')",3965146.928517346
89,"('bölümlerine', 'geçilmesini')",3925687.1241116906
90,"('fetullah', 'gültepe')",3894061.386727829
91,"('araştirmasi', 'önergeleri̇')",3870335.9192230105
92,"('i̇nfaz', 'tutukevleri')",3858001.287191356
93,"('hanifi', 'tiryaki')",3811608.2765483945
94,"('faili', 'meçhul')",3806628.312139761
95,"('yekta', 'açikgöz')",3797765.534993103
96,"('hayri̇', 'kozakçioğlu')",3749222.787807422
97,"('aslan', 'polat')",3742121.0434706784
98,"('milliyetçi', 'hareket')",3735773.1863936726
99,"('soru', 'önergesi')",3730512.6651934716
