,Frequency,PMI,t-test,Chi-Sq Test
0,"('bir', 'bir')","('dengi̇r', 'mi̇r')","('kabul', 'kabul')","('başkanlarinin', 'konuşmalari')"
1,"('kabul', 'kabul')","('gecesini', 'gündüzüne')","('soru', 'önergesi')","('dengi̇r', 'mi̇r')"
2,"('soru', 'önergesi')","('geceli', 'gündüzlü')","('büyük', 'millet')","('muhsi̇n', 'koçyi̇ği̇t')"
3,"('büyük', 'millet')","('etkililik', 'ekonomiklik')","('türkiye', 'büyük')","('mi̇llet', 'mecli̇si̇')"
4,"('türkiye', 'büyük')","('sorabilmeleri', 'şifrelerini')","('önergesi', 'geliş')","('nai̇l', 'kamaci')"
5,"('önergesi', 'geliş')","('saffet', 'benli')","('başkan', 'teşekkür')","('bi̇hlun', 'tamayligi̇l')"
6,"('başkan', 'teşekkür')","('butonuna', 'sönmeye')","('000', '000')","('seracetti̇n', 'karayağiz')"
7,"('000', '000')","('zülfükar', 'i̇zol')","('cumhuriyet', 'halk')","('zekeri̇ya', 'akinci')"
8,"('cumhuriyet', 'halk')","('seracetti̇n', 'karayağiz')","('millet', 'meclisi')","('otomatik', 'cihaz')"
9,"('millet', 'meclisi')","('sağa', 'sola')","('bir', 'bir')","('necati̇', 'uzdi̇l')"
10,"('böyle', 'bir')","('mükerrerliklerin', 'önlenmesinin')","('böyle', 'bir')","('bi̇lgi̇', 'teknoloji̇')"
11,"('halk', 'partisi')","('kaman', 'kalehöyük')","('halk', 'partisi')","('açiklamalar', 'sataşmalara')"
12,"('yer', 'alan')","('ni̇met', 'çubukçu')","('yer', 'alan')","('i̇dri̇s', 'nai̇m')"
13,"('maddeyi', 'kabul')","('bi̇hlun', 'tamayligi̇l')","('dair', 'kanun')","('sanayi̇', 'ti̇caret')"
14,"('dair', 'kanun')","('haraç', 'mezat')","('maddeyi', 'kabul')","('olumsuzca', 'etkilenmesine')"
