,trigram,PMI
0,"('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')",35.299835993713224
1,"('har', 'vurup', 'harman')",33.65514138751388
2,"('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')",33.21737383352124
3,"('seli̇n', 'sayek', 'böke')",32.99700340977001
4,"('bi̇li̇msel', 'teknoloji̇k', 'araştirma')",32.853625562939264
5,"('zemzem', 'gülender', 'açanal')",32.70469553483023
6,"('i̇laç', 'tibbi̇', 'ci̇haz')",32.21002587508376
7,"('sahi̇l', 'güvenli̇k', 'komutanliği')",32.16074497231254
8,"('şehadet', 'şerbetini', 'içen')",32.10026553052238
9,"('i̇zzet', 'ulvi̇', 'yönter')",31.98968711251528
10,"('ekteki', 'cetveldeki', 'şekliyle')",31.789428850463008
11,"('tüyü', 'bitmemiş', 'yetimin')",31.64831949055966
12,"('abdul', 'ahat', 'andi̇can')",31.604396956630488
13,"('artos', 'çarparak', 'düşmesi')",31.430414132214707
14,"('muhasebe', 'deneti̇m', 'standartlari')",31.222096243763648
15,"('mi̇hri̇mah', 'belma', 'satir')",31.146507502801597
16,"('erkeklik', 'hamaset', 'söylemleriyle')",31.05539710282396
17,"('i̇şletmeleri̇', 'geli̇şti̇rme', 'destekleme')",30.95893866225927
18,"('türki̇ye', 'bi̇li̇msel', 'teknoloji̇k')",30.827809271135127
19,"('vedat', 'demiröz', '97')",30.781773448074052
20,"('vergilerde', 'çifte', 'vergilendirmeyi')",30.766760039350928
21,"('gamze', 'akkuş', 'i̇lgezdi̇')",30.641080927559162
22,"('pervi̇n', 'tuba', 'durgut')",30.540702281313106
23,"('elementleri̇', 'araştirma', 'ensti̇tüsü')",30.32469709713242
24,"('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')",30.281615448502695
25,"('müşerref', 'pervi̇n', 'tuba')",30.194251867291673
26,"('birleşimini', 'teşekkül', 'etmediğinden')",30.125679184169787
27,"('jale', 'nur', 'süllü')",30.060803255574665
28,"('bölümler', 'görüşülecek', 'bölümlerde')",30.03443705080874
29,"('dirayet', 'dilan', 'taşdemir')",29.844570404655467
30,"('nadi̇r', 'toprak', 'elementleri̇')",29.819678231015914
31,"('kuvvetlerin', 'belirleyeceği', 'esaslara')",29.78611327565096
32,"('bi̇lgi̇', 'teknoloji̇leri̇', 'i̇leti̇şi̇m')",29.747798515553033
33,"('üvey', 'evlat', 'muamelesi')",29.71249405689533
34,"('anlam', 'öneminin', 'belirtilmesi')",29.66842352000337
35,"('hilmi', 'dülger', '55')",29.619813013328656
36,"('i̇sti̇hbarat', 'teşki̇lati', 'başkanliği')",29.4842225321085
37,"('hudut', 'sahi̇ller', 'sağlik')",29.393944148605573
38,"('çifte', 'vergilendirmeyi', 'önleme')",29.34341752923775
39,"('koordi̇nasyon', 'ajansi', 'başkanliği')",29.317572662699046
40,"('orta', 'ölçekli̇', 'i̇şletmeleri̇')",29.22364915894774
41,"('seçiminin', 'iptali', 'yenilenmesi')",29.22172629775073
42,"('ki̇şi̇sel', 'veri̇leri̇', 'koruma')",29.071017303217335
43,"('tuba', 'vural', 'çokal')",29.018595435797938
44,"('sait', 'kirazoğlu', '56')",28.953821549371007
45,"('güli̇zar', 'bi̇çer', 'karaca')",28.940641209418065
46,"('seçme', 'yerleşti̇rme', 'merkezi̇')",28.934512529968266
47,"('radi̇ye', 'sezer', 'katircioğlu')",28.929264576597262
48,"('zeki̇', 'hakan', 'sidali')",28.926786356272316
49,"('bakani', 'adi̇l', 'karai̇smai̇loğlu')",28.7748368336998
50,"('haşi̇m', 'teoman', 'sancar')",28.739999141207267
51,"('i̇le', 'tutukevleri̇', 'i̇şyurtlari')",28.726188806219895
52,"('istemi', 'görüşlerini', 'bildirmek')",28.724849285251754
53,"('pir', 'sultan', 'abdal')",28.705853703735496
54,"('yazili', 'sorular', 'cevaplari')",28.699348800351192
55,"('kurumlari', 'i̇le', 'tutukevleri̇')",28.698174430050297
56,"('bariş', 'atay', 'mengüllüoğlu')",28.695245054327337
57,"('türki̇ye', 'bi̇li̇mler', 'akademi̇si̇')",28.63516419319273
58,"('yoluyla', 'i̇şlenen', 'suçlarla')",28.633193146522196
59,"('elini', 'kolunu', 'sallayarak')",28.60073952264234
60,"('sali̇ha', 'sera', 'kadigi̇l')",28.592930753421793
61,"('arap', 'denizi', 'mücavir')",28.575883332947246
62,"('denizi', 'mücavir', 'bölgelerde')",28.486970297375308
63,"('mi̇lli̇', 'saraylar', 'i̇daresi̇')",28.470593690047643
64,"('i̇nsan', 'haklari', 'eşi̇tli̇k')",28.45194959192956
65,"('yurtdişi', 'türkler', 'akraba')",28.44880027495243
66,"('türkler', 'akraba', 'topluluklar')",28.391719179745163
67,"('aci̇l', 'durum', 'yöneti̇mi̇')",28.38828931788417
68,"('hazi̇ne', 'mali̇ye', 'bakanliği')",28.379985112374612
69,"('meti̇n', 'nurullah', 'sazak')",28.30174338834856
70,"('ravza', 'kavakci', 'kan')",28.293842431549585
71,"('güvenli̇k', 'komutanliği', 'sahil')",28.276815525147338
