,Frequency,PMI,t-test,Chi-Sq Test
0,"('türkiye', 'büyük', 'millet')","('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')","('türkiye', 'büyük', 'millet')","('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')"
1,"('büyük', 'millet', 'meclisi')","('eyüp', 'i̇lçesinin', 'eyüpsultan')","('büyük', 'millet', 'meclisi')","('lütfi̇ye', 'i̇lksen', 'ceri̇toğlu')"
2,"('başkan', 'teşekkür', 'ederim')","('lütfi̇ye', 'i̇lksen', 'ceri̇toğlu')","('başkan', 'teşekkür', 'ederim')","('eyüp', 'i̇lçesinin', 'eyüpsultan')"
3,"('başkan', 'kabul', 'kabul')","('vaki', 'davetine', 'icabetle')","('başkan', 'kabul', 'kabul')","('vaki', 'davetine', 'icabetle')"
4,"('cumhuriyet', 'halk', 'partisi')","('düzeni̇', 'güvenli̇ği̇', 'müsteşarliği')","('cumhuriyet', 'halk', 'partisi')","('radi̇ye', 'sezer', 'katircioğlu')"
5,"('milliyetçi', 'hareket', 'partisi')","('i̇sti̇hbarat', 'teşki̇lati', 'müsteşarliği')","('milliyetçi', 'hareket', 'partisi')","('lütfiye', 'i̇lksen', 'ceritoğlu')"
6,"('meclisi', 'görüşülmekte', 'olan')","('i̇laç', 'tibbi̇', 'ci̇haz')","('meclisi', 'görüşülmekte', 'olan')","('düzeni̇', 'güvenli̇ği̇', 'müsteşarliği')"
7,"('millet', 'meclisi', 'görüşülmekte')","('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')","('millet', 'meclisi', 'görüşülmekte')","('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')"
8,"('mehmet', 'naci̇', 'bostanci')","('i̇li', 'eyüp', 'i̇lçesinin')","('mehmet', 'naci̇', 'bostanci')","('i̇laç', 'tibbi̇', 'ci̇haz')"
9,"('değişiklik', 'dair', 'kanun')","('bi̇li̇msel', 'teknoloji̇k', 'araştirma')","('değişiklik', 'dair', 'kanun')","('bi̇li̇msel', 'teknoloji̇k', 'araştirma')"
10,"('teşekkür', 'başkan', 'teşekkür')","('ad', 'defterine', 'işaretlettikten')","('teşekkür', 'başkan', 'teşekkür')","('i̇sti̇hbarat', 'teşki̇lati', 'müsteşarliği')"
11,"('büyük', 'millet', 'meclisinin')","('büyükbaş', 'kümes', 'üretimle')","('büyük', 'millet', 'meclisinin')","('uygulanacak', 'i̇şlemler', '6785')"
12,"('maddeyi', 'kabul', 'kabul')","('abant', 'i̇zzet', 'baysal')","('maddeyi', 'kabul', 'kabul')","('mi̇hri̇mah', 'belma', 'satir')"
13,"('grup', 'başkan', 'vekili')","('tüyü', 'bitmemiş', 'yetimin')","('grup', 'başkan', 'vekili')","('tüyü', 'bitmemiş', 'yetimin')"
14,"('otomatik', 'cihaz', 'başkan')","('yükseköğreni̇m', 'kredi̇', 'yurtlar')","('otomatik', 'cihaz', 'başkan')","('i̇şlemler', '6785', 'i̇mar')"
