,Frequency,PMI,t-test,Chi-Sq Test
0,"('kabul', 'kabul')","('allak', 'bullak')","('kabul', 'kabul')","('ayli̇n', 'nazliaka')"
1,"('büyük', 'millet')","('karamanoğlu', 'mehmetbey')","('büyük', 'millet')","('kadi̇r', 'koçdemi̇r')"
2,"('türkiye', 'büyük')","('yükseköğreni̇m', 'kredi̇')","('türkiye', 'büyük')","('ölçekli̇', 'i̇şletmeleri̇')"
3,"('başkan', 'teşekkür')","('it', 'izine')","('başkan', 'teşekkür')","('tasari', 'tekli̇fleri̇')"
4,"('teşekkür', 'ederim')","('dengir', 'mir')","('teşekkür', 'ederim')","('tacetti̇n', 'bayir')"
5,"('millet', 'meclisi')","('mesleki̇', 'yeterli̇li̇k')","('millet', 'meclisi')","('riza', 'yalçinkaya')"
6,"('i̇stanbul', 'milletvekili')","('sencer', 'ayata')","('i̇stanbul', 'milletvekili')","('ni̇yazi̇', 'nefi̇')"
7,"('böyle', 'bir')","('i̇sti̇hbarat', 'teşki̇lati')","('böyle', 'bir')","('mi̇llet', 'mecli̇si̇')"
8,"('bir', 'şekilde')","('tali̇p', 'küçükcan')","('özgür', 'özel')","('bi̇hlun', 'tamayligi̇l')"
9,"('özgür', 'özel')","('defterine', 'işaretlettikten')","('cumhuriyet', 'halk')","('meli̇ke', 'basmaci')"
10,"('cumhuriyet', 'halk')","('ci̇han', 'pektaş')","('otomatik', 'cihaz')","('jüli̇de', 'sarieroğlu')"
11,"('otomatik', 'cihaz')","('düzeni̇', 'güvenli̇ği̇')","('bir', 'şekilde')","('i̇srafi̇l', 'kişla')"
12,"('yönetim', 'kesin')","('tibbi̇', 'ci̇haz')","('yönetim', 'kesin')","('hamdi̇', 'çamli')"
13,"('başkan', 'vekili')","('haklari', 'eşi̇tli̇k')","('başkan', 'vekili')","('fevzi̇', 'şanverdi̇')"
14,"('grup', 'başkan')","('ölçekli̇', 'i̇şletmeleri̇')","('ak', 'parti̇')","('erdi̇n', 'bi̇rcan')"
