,bigram,chi-sq
0,"('ayli̇n', 'nazliaka')",8219217.0
9,"('kadi̇r', 'koçdemi̇r')",8219217.0
16,"('ölçekli̇', 'i̇şletmeleri̇')",8219217.0
15,"('tasari', 'tekli̇fleri̇')",8219217.0
14,"('tacetti̇n', 'bayir')",8219217.0
13,"('riza', 'yalçinkaya')",8219217.0
12,"('ni̇yazi̇', 'nefi̇')",8219217.0
11,"('mi̇llet', 'mecli̇si̇')",8219217.0
1,"('bi̇hlun', 'tamayligi̇l')",8219217.0
10,"('meli̇ke', 'basmaci')",8219217.0
8,"('jüli̇de', 'sarieroğlu')",8219217.0
7,"('i̇srafi̇l', 'kişla')",8219217.0
6,"('hamdi̇', 'çamli')",8219217.0
5,"('fevzi̇', 'şanverdi̇')",8219217.0
4,"('erdi̇n', 'bi̇rcan')",8219217.0
3,"('düzeni̇', 'güvenli̇ği̇')",8219217.0
2,"('dengi̇r', 'mi̇r')",8219217.0
17,"('nabi̇', 'avci')",8186470.119491616
18,"('sadi̇', 'bi̇lgi̇ç')",8176573.224882221
19,"('kemaletti̇n', 'yilmazteki̇n')",8174787.805383139
20,"('hali̇s', 'dalkiliç')",8159219.737078437
21,"('gali̇p', 'ensari̇oğlu')",8126865.25841638
22,"('başkanlarinin', 'konuşmalari')",8122613.265474349
23,"('fi̇kri̇', 'işik')",8072928.787185086
24,"('i̇şletmeleri̇', 'geli̇şti̇rme')",8064136.452823981
25,"('si̇vi̇l', 'havacilik')",8064136.452823981
26,"('tibbi̇', 'ci̇haz')",8054831.6799941575
27,"('mesleki̇', 'yeterli̇li̇k')",8032415.636358524
28,"('nazim', 'mavi̇ş')",7940597.542359481
29,"('fi̇li̇z', 'keresteci̇oğlu')",7910302.627573995
30,"('tarim', 'hayvancilik')",7887454.783332249
31,"('sezgi̇n', 'tanrikulu')",7843340.02990585
32,"('otomatik', 'cihaz')",7815477.989250681
33,"('gökcen', 'özdoğan')",7812962.847735532
34,"('koordi̇nasyon', 'ajansi')",7801287.864387378
35,"('peş', 'peşe')",7780854.973300624
36,"('i̇sti̇hbarat', 'teşki̇lati')",7705513.124984602
37,"('i̇şlemler', '6785')",7680927.343732695
38,"('fehmi', 'küpçü')",7645996.504923201
39,"('yükseköğreni̇m', 'kredi̇')",7586966.7692186395
40,"('i̇shak', 'gazel')",7570923.570347769
41,"('karamanoğlu', 'mehmetbey')",7552791.2432318395
42,"('allak', 'bullak')",7472012.727262773
43,"('ebubeki̇r', 'gi̇zli̇gi̇der')",7472010.909063256
44,"('ejder', 'açikkapi')",7447504.823360119
45,"('sataşmalara', 'i̇li̇şki̇n')",7429775.529557576
46,"('sula', 'köseoğlu')",7393961.296552215
47,"('özdoğan', 'enç')",7373133.864110713
48,"('teknoloji̇leri̇', 'i̇leti̇şi̇m')",7347023.341450738
49,"('hulusi̇', 'şentürk')",7330642.2971683815
50,"('celaletti̇n', 'güvenç')",7324594.088208115
51,"('keresteci̇oğlu', 'demi̇r')",7321388.520709188
52,"('nurhayat', 'altaca')",7256837.668167832
53,"('tuğba', 'hezer')",7248786.228223115
54,"('niyazi', 'nefi')",7228200.709225946
55,"('sali̇h', 'cora')",7197099.718278818
56,"('beki̇r', 'bozdağ')",7160913.795017651
57,"('gamze', 'akkuş')",7136125.489356763
58,"('veli̇', 'ağbaba')",7135882.90023994
59,"('zeki̇', 'aygün')",7115685.906836182
60,"('yasi̇n', 'aktay')",7054273.157275436
61,"('azi̇z', 'babuşcu')",7045027.7140829805
62,"('süha', 'aldan')",7028335.222215073
63,"('tekli̇fleri̇', 'i̇le')",7025992.236923669
64,"('zühal', 'topcu')",7018427.655739019
65,"('i̇le', 'komi̇syonlardan')",7000401.471525935
66,"('şami̇l', 'tayyar')",6994360.167773674
67,"('fuat', 'köktaş')",6980698.670237619
68,"('aşkin', 'bak')",6899608.374716282
69,"('belma', 'satir')",6873173.518016084
71,"('tali̇p', 'küçükcan')",6849340.833300889
70,"('ci̇han', 'pektaş')",6849340.833300889
72,"('mi̇hri̇mah', 'belma')",6844534.4622522835
73,"('lezgi̇n', 'botan')",6808512.073777072
74,"('garo', 'paylan')",6804178.172389359
75,"('filiz', 'kerestecioğlu')",6773321.141156598
76,"('baki̇', 'şi̇mşek')",6749180.325484121
77,"('i̇dri̇s', 'baluken')",6726903.28666841
78,"('apar', 'topar')",6725359.987267136
79,"('enine', 'boyuna')",6703885.487348084
80,"('musa', 'çam')",6636020.233918919
81,"('bi̇li̇msel', 'teknoloji̇k')",6624433.074558027
82,"('i̇şlemlerde', 'rehni')",6601764.49782939
83,"('it', 'izine')",6539603.393912584
84,"('ati̇la', 'sertel')",6536879.257567857
85,"('hi̇şyar', 'özsoy')",6536625.73833102
86,"('burhanetti̇n', 'uysal')",6534506.533752904
87,"('recai̇', 'berber')",6533204.692091836
88,"('aykut', 'erdoğdu')",6513262.95164505
89,"('bariş', 'yarkadaş')",6496359.171469476
90,"('nejat', 'koçer')",6461852.101769098
91,"('feleknas', 'uca')",6430790.009476134
92,"('şahap', 'kavcioğlu')",6428840.879699512
93,"('aycan', 'i̇rmez')",6403971.76078483
94,"('si̇bel', 'yi̇ği̇talp')",6395694.83323813
95,"('çeti̇n', 'arik')",6389112.655177195
96,"('canla', 'başla')",6372024.716165803
97,"('di̇ğer', 'i̇şler')",6350725.090349342
98,"('candan', 'yüceer')",6320707.286426743
99,"('ertuğrul', 'kürkcü')",6313387.505761173
