,trigram,chi-sq
0,"('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')",1274632605574.9912
1,"('lütfi̇ye', 'i̇lksen', 'ceri̇toğlu')",434285537750.3193
2,"('eyüp', 'i̇lçesinin', 'eyüpsultan')",429221036961.47015
3,"('vaki', 'davetine', 'icabetle')",381114610174.862
4,"('radi̇ye', 'sezer', 'katircioğlu')",379525438788.21484
5,"('lütfiye', 'i̇lksen', 'ceritoğlu')",352402587692.3686
6,"('düzeni̇', 'güvenli̇ği̇', 'müsteşarliği')",346438605617.3974
7,"('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')",341066496717.2112
8,"('i̇laç', 'tibbi̇', 'ci̇haz')",310818861658.8438
9,"('bi̇li̇msel', 'teknoloji̇k', 'araştirma')",291845451059.66345
10,"('i̇sti̇hbarat', 'teşki̇lati', 'müsteşarliği')",282924895497.89044
11,"('uygulanacak', 'i̇şlemler', '6785')",237335609193.99594
12,"('mi̇hri̇mah', 'belma', 'satir')",234404344312.17343
13,"('tüyü', 'bitmemiş', 'yetimin')",232122652230.53207
14,"('i̇şlemler', '6785', 'i̇mar')",232100268872.4311
15,"('i̇li', 'eyüp', 'i̇lçesinin')",196511333561.6921
16,"('büyükbaş', 'kümes', 'üretimle')",182976254254.5328
17,"('doldurmuş', 'güçsüz', 'kimsesiz')",181074460355.44885
18,"('gecekondu', 'uygulanacak', 'i̇şlemler')",174046113390.714
19,"('ad', 'defterine', 'işaretlettikten')",173376234738.34668
20,"('abant', 'i̇zzet', 'baysal')",164688974775.00095
21,"('yükseköğreni̇m', 'kredi̇', 'yurtlar')",157472098247.5078
22,"('dönüştürülmesi', '2981', 'gecekondu')",153583404621.51056
23,"('seli̇n', 'sayek', 'böke')",145613681645.19324
24,"('2981', 'gecekondu', 'uygulanacak')",132797680485.07301
25,"('bi̇lgi̇', 'teknoloji̇leri̇', 'i̇leti̇şi̇m')",121993587722.21829
26,"('düğmelerine', 'basarak', 'salonda')",116831754566.84729
27,"('i̇zzet', 'ulvi̇', 'yönter')",116331166580.28123
28,"('i̇şletmeleri̇', 'geli̇şti̇rme', 'destekleme')",114277406016.66515
29,"('selin', 'sayek', 'böke')",107517038948.5172
30,"('vergilerde', 'çifte', 'vergilendirmeyi')",101843007570.55333
31,"('türkler', 'akraba', 'topluluklar')",100255206949.65503
32,"('koordi̇nasyon', 'ajansi', 'başkanliği')",88320249644.5571
33,"('muhasebe', 'deneti̇m', 'standartlari')",88301804726.89336
34,"('yazili', 'sorular', 'cevaplari')",80483475996.39273
35,"('görüşülmesi', 'bölümlerinin', 'ekteki')",79043830217.55763
36,"('muhammet', 'riza', 'yalçinkaya')",78827920770.88718
37,"('gökcen', 'özdoğan', 'enç')",74519241673.01779
38,"('nuriye', 'gülmen', 'semih')",74027401682.18814
