,Frequency,PMI,t-test,Chi-Sq Test
0,"('soru', 'önergesi', 'geliş')","('bölümlerinin', 'ekteki', 'cetveldeki')","('soru', 'önergesi', 'geliş')","('mi̇hri̇mah', 'belma', 'satir')"
1,"('türkiye', 'büyük', 'millet')","('mi̇hri̇mah', 'belma', 'satir')","('türkiye', 'büyük', 'millet')","('bölümlerinin', 'ekteki', 'cetveldeki')"
2,"('büyük', 'millet', 'meclisi')","('düğmelerine', 'basarak', 'salonda')","('büyük', 'millet', 'meclisi')","('çiğdem', 'münevver', 'ökten')"
3,"('başbakandan', 'soru', 'önergesi')","('ekteki', 'cetveldeki', 'şekliyle')","('başbakandan', 'soru', 'önergesi')","('münevver', 'ökten', 'benimsenen')"
4,"('ilişkin', 'başbakandan', 'soru')","('rahmi̇', 'aşkin', 'türeli̇')","('ilişkin', 'başbakandan', 'soru')","('düğmelerine', 'basarak', 'salonda')"
5,"('sözlü', 'soru', 'önergesi')","('çiğdem', 'münevver', 'ökten')","('sözlü', 'soru', 'önergesi')","('vaki', 'davetine', 'icabetle')"
6,"('i̇çişleri', 'soru', 'önergesi')","('münevver', 'ökten', 'benimsenen')","('i̇çişleri', 'soru', 'önergesi')","('rahmi̇', 'aşkin', 'türeli̇')"
7,"('ilişkin', 'i̇çişleri', 'soru')","('zeynep', 'karahan', 'uslu')","('ilişkin', 'i̇çişleri', 'soru')","('vergilerde', 'çifte', 'vergilendirmeyi')"
8,"('ilişkin', 'soru', 'önergesi')","('medya', 'izlenip', 'izlenmediğine')","('ilişkin', 'soru', 'önergesi')","('zeynep', 'karahan', 'uslu')"
9,"('geliş', 'i̇stanbul', 'milletvekili')","('halkla', 'i̇lişkiler', 'müşavirliğinde')","('geliş', 'i̇stanbul', 'milletvekili')","('bedi̇i̇', 'süheyl', 'batum')"
10,"('önergesi', 'geliş', 'i̇stanbul')","('vergilerde', 'çifte', 'vergilendirmeyi')","('önergesi', 'geliş', 'i̇stanbul')","('şükran', 'güldal', 'mumcu')"
11,"('değişiklik', 'dair', 'kanun')","('vaki', 'davetine', 'icabetle')","('değişiklik', 'dair', 'kanun')","('mali̇k', 'ecder', 'özdemi̇r')"
12,"('ilişkin', 'milli', 'eğitim')","('eşitliğinin', 'konulu', 'genelgesi')","('ilişkin', 'milli', 'eğitim')","('ekteki', 'cetveldeki', 'şekliyle')"
13,"('kütahya', 'milletvekili', 'alim')","('abant', 'i̇zzet', 'baysal')","('kütahya', 'milletvekili', 'alim')","('taciz', 'şikayetlerine', 'işlemlere')"
14,"('milli', 'eğitim', 'soru')","('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')","('milli', 'eğitim', 'soru')","('türkler', 'akraba', 'topluluklar')"
