,Frequency,PMI,t-test,Chi-Sq Test
0,"('türkiye', 'büyük', 'millet')","('mahalle', 'i̇htiyar', 'heyetleri')","('türkiye', 'büyük', 'millet')","('cefi', 'jozef', 'kamhi')"
1,"('büyük', 'millet', 'meclisi')","('abant', 'i̇zzet', 'baysal')","('büyük', 'millet', 'meclisi')","('abant', 'i̇zzet', 'baysal')"
2,"('soru', 'önergesi', 'geliş')","('6136', 'ateşli', 'silahlar')","('soru', 'önergesi', 'geliş')","('seyyit', 'haşim', 'haşimi')"
3,"('önergesi', 'geliş', 'tarihi')","('seçi̇mler', 'komi̇syonlarda', 'açik')","('önergesi', 'geliş', 'tarihi')","('uygunluk', 'bildiriminin', 'sunulduğuna')"
4,"('sözlü', 'soru', 'önergesi')","('cefi', 'jozef', 'kamhi')","('sözlü', 'soru', 'önergesi')","('mahalle', 'i̇htiyar', 'heyetleri')"
5,"('başkan', 'kabul', 'kabul')","('vergilerde', 'çifte', 'vergilendirmeyi')","('başkan', 'kabul', 'kabul')","('vergilerde', 'çifte', 'vergilendirmeyi')"
6,"('000', 'başkan', 'kabul')","('1076', 'yedek', 'subaylar')","('000', 'başkan', 'kabul')","('maliki', 'ejder', 'arvas')"
7,"('millet', 'meclisi', 'i̇lgi')","('2911', 'gösteri', 'yürüyüşleri')","('millet', 'meclisi', 'i̇lgi')","('seçi̇mler', 'komi̇syonlarda', 'açik')"
8,"('otomatik', 'cihaz', 'başkan')","('ülkesi', 'milletiyle', 'bölünmez')","('otomatik', 'cihaz', 'başkan')","('komisyonunca', 'ibra', 'edilmeyen')"
9,"('önergesi', 'türkiye', 'büyük')","('durmuş', 'fi̇kri̇', 'sağlar')","('önergesi', 'türkiye', 'büyük')","('edi̇rne', 'ümran', 'akkan')"
10,"('büyük', 'millet', 'meclisinin')","('uygunluk', 'bildiriminin', 'sunulduğuna')","('büyük', 'millet', 'meclisinin')","('6136', 'ateşli', 'silahlar')"
11,"('ilişkin', 'başbakandan', 'soru')","('i̇htiyar', 'heyetleri', 'seçimi')","('ilişkin', 'başbakandan', 'soru')","('giray', 'tamer', 'kanber')"
12,"('000', '000', 'başkan')","('çimen', 'tevfik', 'demirbağ')","('000', '000', 'başkan')","('tasari', 'tekli̇fleri̇yle', 'komi̇syonlardan')"
13,"('geliş', 'tarihi', 'milletvekili')","('zülfü', 'çimen', 'tevfik')","('geliş', 'tarihi', 'milletvekili')","('mardi̇n', 'fehim', 'adak')"
14,"('cumhuriyet', 'halk', 'partisi')","('komisyonunca', 'ibra', 'edilmeyen')","('cumhuriyet', 'halk', 'partisi')","('1076', 'yedek', 'subaylar')"
