,Frequency,PMI,t-test,Chi-Sq Test
0,"('büyük', 'millet')","('nai̇mi̇', 'barim')","('büyük', 'millet')","('adi̇l', 'aşirim')"
1,"('türkiye', 'büyük')","('hi̇lmi̇', 'develi̇')","('türkiye', 'büyük')","('hi̇lmi̇', 'develi̇')"
2,"('millet', 'meclisi')","('bi̇lgi̇', 'teknoloji̇')","('millet', 'meclisi')","('nai̇mi̇', 'barim')"
3,"('soru', 'önergesi')","('düşünülüp', 'düşünülmediğine')","('soru', 'önergesi')","('sitki', 'cengi̇l')"
4,"('kabul', 'kabul')","('adi̇l', 'aşirim')","('kabul', 'kabul')","('bedri̇', 'i̇ncetahtaci')"
5,"('geliş', 'tarihi')","('işilay', 'saygin')","('geliş', 'tarihi')","('zekeri̇ya', 'temi̇zel')"
6,"('000', '000')","('hayri̇', 'kozakçioğlu')","('000', '000')","('tekli̇fleri̇yle', 'komi̇syonlardan')"
7,"('sözlü', 'soru')","('zülfü', 'çimen')","('sözlü', 'soru')","('selahatti̇n', 'beyri̇bey')"
8,"('önergesi', 'geliş')","('mi̇llet', 'mecli̇si̇')","('önergesi', 'geliş')","('tasari', 'tekli̇fleri̇yle')"
9,"('ilişkin', 'başbakandan')","('yapilmasina', 'dai̇r')","('ilişkin', 'başbakandan')","('feri̇dun', 'pehli̇van')"
10,"('böyle', 'bir')","('oylamasi', 'yapilacak')","('ilişkin', 'sorusu')","('cengi̇z', 'altinkaya')"
11,"('ilişkin', 'sorusu')","('naci̇', 'terzi̇')","('i̇stanbul', 'milletvekili')","('şadan', 'tuzcu')"
12,"('i̇stanbul', 'milletvekili')","('hayretti̇n', 'di̇lekcan')","('böyle', 'bir')","('naci̇', 'terzi̇')"
13,"('başkan', 'teşekkür')","('nezi̇r', 'büyükcengi̇z')","('başkan', 'teşekkür')","('tarim', 'köyi̇şleri̇')"
14,"('sosyal', 'güvenlik')","('feri̇dun', 'pehli̇van')","('sosyal', 'güvenlik')","('ataullah', 'hamidi')"
