,trigram,chi-sq
0,"('cefi', 'jozef', 'kamhi')",93093623848.44142
1,"('abant', 'i̇zzet', 'baysal')",76872974823.1904
2,"('seyyit', 'haşim', 'haşimi')",63767815410.51054
3,"('uygunluk', 'bildiriminin', 'sunulduğuna')",62799190757.19381
4,"('mahalle', 'i̇htiyar', 'heyetleri')",62533795443.121284
5,"('vergilerde', 'çifte', 'vergilendirmeyi')",56723641368.022484
6,"('maliki', 'ejder', 'arvas')",55839932496.720474
7,"('seçi̇mler', 'komi̇syonlarda', 'açik')",38414326918.94916
8,"('komisyonunca', 'ibra', 'edilmeyen')",37138829577.47736
9,"('edi̇rne', 'ümran', 'akkan')",35068073634.40325
10,"('6136', 'ateşli', 'silahlar')",33803076239.12005
11,"('giray', 'tamer', 'kanber')",31937089840.22138
12,"('tasari', 'tekli̇fleri̇yle', 'komi̇syonlardan')",31733318327.354637
13,"('mardi̇n', 'fehim', 'adak')",31531669659.03338
14,"('1076', 'yedek', 'subaylar')",31160171643.93694
15,"('safa', 'giray', 'tamer')",26673326341.003483
16,"('durmuş', 'fi̇kri̇', 'sağlar')",25619612656.50591
17,"('çankiri', 'mete', 'bülgün')",25613769908.802464
18,"('eyyüpoğlu', 'eyyüp', 'cenap')",25389640517.56127
19,"('salim', 'ensarioğlu', 'sacit')",24546973612.11352
20,"('çilsal', 'ayvaz', 'gökdemir')",23823740377.814777
21,"('seyit', 'eyyüpoğlu', 'eyyüp')",23528546660.416306
22,"('halkla', 'i̇lişkiler', 'müşavirliği')",23063410335.5159
23,"('nuri', 'yabuz', 'ağri')",22308136704.10032
24,"('i̇htiyar', 'heyetleri', 'seçimi')",20990367830.58314
25,"('göksal', 'küçükali', 'menderes')",20917387488.197865
26,"('yaman', 'törüner', 'kubilay')",20524062384.228256
27,"('1050', 'muhasebei', 'umumiye')",20378032532.986862
28,"('çifte', 'vergilendirmeyi', 'önleme')",20299754534.82859
29,"('bi̇leci̇k', 'şerif', 'çim')",19818824556.378086
30,"('bildiriminde', 'rüşvet', 'yolsuzluklarla')",19650739260.663948
31,"('şirnak', 'bayar', 'ökten')",19588644785.471313
32,"('2911', 'gösteri', 'yürüyüşleri')",19409155116.574787
33,"('ülkesi', 'milletiyle', 'bölünmez')",19284116383.972736
34,"('sait', 'halim', 'paşa')",19051780234.928677
35,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",18220849589.70518
36,"('diker', 'ayseli', 'göksoy')",18186282518.01602
37,"('ki̇t', 'komisyonunca', 'ibra')",17552647293.99156
38,"('i̇limen', 'erdal', 'kesebir')",17527225411.74507
39,"('yanmaz', 'muhsin', 'şanliurfa')",17521533542.942974
40,"('kararnamenin', 'değiştirilerek', 'kabulüne')",16928075289.199093
41,"('ümran', 'akkan', 'evren')",16827353524.475805
42,"('erdal', 'kesebir', 'elaziğ')",16386472477.400082
43,"('ensarioğlu', 'sacit', 'günbey')",16163729673.231697
44,"('yili', 'tutanak', 'dergi̇si̇')",15947314593.64802
45,"('akkan', 'evren', 'bulut')",15609310753.583242
46,"('bora', 'salim', 'ensarioğlu')",15081928659.408669
47,"('rasim', 'zaimoğlu', 'gümüşhane')",14811225010.120779
48,"('nizamettin', 'sevgili', 'si̇nop')",14344916480.5889
49,"('ferit', 'bora', 'salim')",14338802462.502796
50,"('tahsi̇n', 'boray', 'baycik')",14292825817.707441
51,"('hamdi', 'çankiri', 'mete')",14001315005.314898
52,"('bi̇lgi̇', 'teknoloji̇', 'komi̇syonu')",13751405595.360622
53,"('ahat', 'andican', 'refik')",13618888797.364061
54,"('balikesi̇r', 'abdülbaki', 'ataç')",13023775975.296
55,"('zülfü', 'çimen', 'tevfik')",12416438179.568481
56,"('çimen', 'tevfik', 'demirbağ')",12416136711.865955
57,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",11940082312.254757
58,"('oylamasi', 'yapilacak', 'i̇şler')",11877354647.86066
59,"('saracoglu', 'serdaroğlu', 'süha')",11818453519.45276
60,"('ramazan', 'yenidede', 'di̇yarbakir')",11241858121.55227
61,"('nabi', 'poyraz', 'refaiddin')",11192510878.408226
62,"('milletvekilliği', 'sona', 'ermesine')",10761982575.681602
63,"('teki̇rdağ', 'nihan', 'i̇lgün')",10733808509.684895
64,"('topuz', 'şadan', 'tuzcu')",10525148350.665464
65,"('nurhan', 'tekinel', 'haluk')",10402698424.994473
66,"('makine', 'kimya', 'endüstrisi')",10361197054.61405
67,"('soruşturmasi', 'mecli̇s', 'araştirmasi')",10120505003.061045
68,"('balikesi̇r', 'safa', 'giray')",9770663737.972786
69,"('süha', 'hakan', 'tartan')",9609117873.163095
70,"('piriştina', 'rüşdü', 'saracoglu')",9592286893.564901
71,"('sungurlu', 'naim', 'geylani')",9576615115.885069
72,"('hanifi', 'demirkol', 'gazi̇antep')",9231769100.252602
73,"('subaylar', 'yedek', 'memurlar')",9012187083.604692
74,"('sümer', 'edi̇rne', 'ümran')",8844558633.650415
75,"('suat', 'pamukçu', 'bi̇leci̇k')",8835417613.606495
76,"('uzatma', 'nedeni', 'uzatmadan')",8731175009.808533
77,"('nurettin', 'akgül', 'dursun')",8666096807.262514
78,"('hadi', 'dilekçi', 'kayseri̇')",8617916555.867317
79,"('sever', 'ataullah', 'hamidi')",8603164282.75971
80,"('andican', 'refik', 'aras')",8569354860.009719
81,"('tartan', 'zerrin', 'yeniceli')",8555840600.97474
82,"('rüşdü', 'saracoglu', 'serdaroğlu')",8462591034.543984
83,"('bartin', 'köksal', 'toptan')",8400973497.562394
84,"('günbey', 'seyyit', 'haşim')",8223330055.188102
85,"('yusuf', 'selahatti̇n', 'beyri̇bey')",8157856409.968878
86,"('seçkiner', 'i̇lker', 'tuncay')",8112568516.284473
87,"('sunuşlari', 'gündemdişi', 'konuşmalar')",8107276101.642083
88,"('köstepen', 'atilla', 'mutman')",8074759681.330515
89,"('gencay', 'gürün', 'birgen')",7974576954.304966
90,"('malatya', 'miraç', 'akdoğan')",7748125560.993356
91,"('erdoğan', 'yetenç', 'mardi̇n')",7687399901.188502
92,"('gündemin', 'teklifleriyle', 'komisyonlardan')",7639993181.056995
93,"('halis', 'uluç', 'gürkan')",7538532325.083131
94,"('van', 'maliki', 'ejder')",7284703777.7083025
95,"('cengil', 'cevher', 'cevheri')",7282118431.945459
96,"('ibra', 'edilmeyen', 'etibank')",7269317547.368477
97,"('görür', 'necmi', 'hoşver')",7257753013.621869
98,"('murtaza', 'sadi', 'somuncuoğlu')",7236900702.845911
99,"('alişan', 'i̇rfan', 'demiralp')",7227183582.802533
