,bigram,PMI
0,"('hayati̇', 'yazici')",17.55643145316303
1,"('mülki̇ye', 'bi̇rtane')",17.510627763549913
2,"('izlenip', 'izlenmediğine')",17.340702762107593
3,"('cengi̇z', 'yavi̇li̇oğlu')",17.26270025010632
4,"('fehmi̇', 'ki̇nay')",17.225225544687657
5,"('özdoğan', 'enç')",17.188699668662547
6,"('gökcen', 'özdoğan')",17.188699668662544
7,"('pelin', 'gündeş')",17.118310340771146
8,"('gali̇p', 'ensari̇oğlu')",17.051196144912616
9,"('abdi', 'i̇pekçi')",16.838202421578416
10,"('ekteki', 'cetveldeki')",16.803045976164796
11,"('bünyami̇n', 'özbek')",16.78270730898671
12,"('mecli̇s', 'araştirmasi')",16.755740261386443
13,"('nejat', 'koçer')",16.755740261386443
14,"('sitki', 'güvenç')",16.60641130223972
15,"('peş', 'peşe')",16.554799445024187
16,"('apar', 'topar')",16.46623364419146
17,"('piri', 'reis')",16.317619148994552
18,"('düğmelerine', 'basarak')",16.28603778650922
19,"('enine', 'boyuna')",16.267946419672285
20,"('bölümlerinin', 'ekteki')",16.26388716505677
21,"('berat', 'çonkar')",16.26270025010632
22,"('vahi̇t', 'ki̇ler')",16.225225544687657
23,"('şefi̇k', 'çi̇rki̇n')",16.225225544687657
24,"('baha', 'öğütken')",16.222467572062442
25,"('müsli̇m', 'sari')",16.170777760665285
26,"('selahaddin', 'eyyubi')",16.163753311532314
27,"('muhyetti̇n', 'aksak')",16.135588332202985
28,"('nebi̇', 'bozkurt')",16.118310340771146
29,"('bi̇lal', 'uçar')",16.09277524866401
31,"('mi̇hri̇mah', 'belma')",16.08436300884781
30,"('belma', 'satir')",16.08436300884781
32,"('mihrimah', 'belma')",16.053989359804294
33,"('üvey', 'evlat')",16.05272199914357
34,"('hüsametti̇n', 'zenderli̇oğlu')",16.051196144912613
35,"('yüzme', 'havuzu')",15.968651187794395
36,"('fahretti̇n', 'poyraz')",15.968206780241582
37,"('seyahatlerine', 'seyahatlerdeki')",15.959764401459326
38,"('leyla', 'zana')",15.932359915402756
39,"('afi̇f', 'demi̇rkiran')",15.8959179194347
40,"('opera', 'balesi')",15.881271143470304
41,"('müni̇r', 'kutluata')",15.866771573775187
42,"('sülfürik', 'asit')",15.822571769864652
43,"('zeynep', 'karahan')",15.81574757075072
44,"('şükrü', 'erdi̇nç')",15.810188045408818
45,"('gülay', 'dalyan')",15.799416305973418
46,"('müteaddit', 'defalar')",15.788161739078818
47,"('refi̇k', 'eryilmaz')",15.782707308986712
48,"('tabiri', 'caizse')",15.758907540465124
49,"('anlaşmasinin', 'onaylanmasinin')",15.747452290060856
50,"('aysel', 'tuğluk')",15.690448801134721
51,"('cemal', 'öztaylan')",15.690216688666862
52,"('haydutluğu', 'soygun')",15.683464360412122
53,"('şuay', 'alpay')",15.67773774938517
54,"('hali̇de', 'i̇ncekara')",15.665137712605533
55,"('hilmi', 'bilgin')",15.650658215328882
56,"('nabi̇', 'avci')",15.55643145316303
57,"('etkilerinden', 'korunmak')",15.543505947174554
58,"('esat', 'canan')",15.514827752079194
59,"('defaya', 'mahsus')",15.488671033311213
60,"('had', 'safhaya')",15.478206285857528
61,"('ayli̇n', 'nazliaka')",15.477204762012459
62,"('necdet', 'ünüvar')",15.460874728352806
63,"('yahya', 'akman')",15.455345328048715
64,"('sadi', 'bilgiç')",15.428825955149108
65,"('turgay', 'develi̇')",15.40210330677174
66,"('turhan', 'tayan')",15.394283802312437
67,"('zülfü', 'demi̇rbağ')",15.371076411151115
68,"('harun', 'karaca')",15.371076411151114
69,"('muhammed', 'murtaza')",15.36137035723421
70,"('i̇lişkiler', 'müşavirliğinde')",15.357498004650578
71,"('yildiray', 'sapan')",15.340702762107593
72,"('afyon', 'kocatepe')",15.328730120441522
73,"('turgay', 'develi')",15.32810272532796
74,"('sütçü', 'i̇mam')",15.323339143169378
75,"('nureddi̇n', 'nebati̇')",15.320803204669891
76,"('münevver', 'ökten')",15.32080320466989
77,"('çiğdem', 'münevver')",15.30957594924664
78,"('oyunun', 'rengini')",15.297339402199597
79,"('mülakat', 'itirazlara')",15.296455849018425
80,"('tolga', 'çandar')",15.288741995437595
81,"('kol', 'kola')",15.273588566249064
82,"('i̇lknur', 'deni̇zli̇')",15.27222302422483
83,"('tuğrul', 'türkeş')",15.269376314962141
84,"('ümi̇t', 'özgümüş')",15.253239920857256
85,"('üyeliğinden', 'çekildiğine')",15.253239920857256
86,"('türkan', 'dağoğlu')",15.243841222855009
87,"('ökten', 'benimsenen')",15.238853508151958
88,"('kongo', 'ateşi')",15.19289965719183
89,"('talim', 'terbiye')",15.190781980846351
90,"('davetine', 'icabetle')",15.151701894395194
91,"('sadik', 'badak')",15.150878203227581
92,"('başkanlarinin', 'konuşmalari')",15.099062456177867
93,"('melih', 'gökçek')",15.093876122460955
94,"('tunca', 'toskay')",15.093636404924814
95,"('sali̇m', 'uslu')",15.06768426770118
96,"('cumhuri̇yeti̇', 'hükümeti̇')",15.038610763784833
97,"('selçuk', 'özdağ')",15.002833123351214
98,"('nikel', 'madeni')",14.990760291050636
99,"('selahatti̇n', 'karaahmetoğlu')",14.987065807492895
