,bigram,chi-sq
0,"('gali̇p', 'ensari̇oğlu')",5975499.0
1,"('hayati̇', 'yazici')",5975499.0
2,"('mülki̇ye', 'bi̇rtane')",5975499.0
3,"('nabi̇', 'avci')",5975499.0
4,"('refi̇k', 'eryilmaz')",5975499.0
5,"('sadi̇', 'bi̇lgi̇ç')",5975499.0
6,"('tasari', 'tekli̇fleri̇')",5975499.0
7,"('vahi̇t', 'ki̇ler')",5975499.0
8,"('şefi̇k', 'çi̇rki̇n')",5975499.0
9,"('nureddi̇n', 'nebati̇')",5934569.93148275
10,"('ayli̇n', 'nazliaka')",5929883.511428793
11,"('afi̇f', 'demi̇rkiran')",5914523.530596176
12,"('mi̇llet', 'mecli̇si̇')",5883564.307523571
13,"('mine', 'lök')",5854519.655249598
14,"('aki̇f', 'hamzaçebi̇')",5844633.166625178
15,"('hüsametti̇n', 'zenderli̇oğlu')",5839690.249971869
16,"('nuretti̇n', 'cani̇kli̇')",5814856.613182241
17,"('tarim', 'hayvancilik')",5671703.2305321405
18,"('otomatik', 'cihaz')",5598513.88153476
19,"('sezgi̇n', 'tanrikulu')",5498567.125336386
20,"('peş', 'peşe')",5487388.2277666805
21,"('izlenip', 'izlenmediğine')",5477537.999984813
22,"('münevver', 'ökten')",5443422.177818603
23,"('cengi̇z', 'yavi̇li̇oğlu')",5346495.526295424
24,"('sataşmalara', 'i̇li̇şki̇n')",5256109.683496613
25,"('apar', 'topar')",5251189.060537822
26,"('şuay', 'alpay')",5241653.508566408
27,"('özdoğan', 'enç')",5228557.249974374
28,"('çiğdem', 'münevver')",5198166.066963133
29,"('soru', 'önergesi')",5131932.544842816
30,"('baha', 'öğütken')",5122987.832586671
31,"('fehmi̇', 'ki̇nay')",5056186.384587347
32,"('nebi̇', 'bozkurt')",5050708.404631345
33,"('beki̇r', 'bozdağ')",4987194.219657884
34,"('ayla', 'akat')",4983071.722690143
35,"('tekli̇fleri̇', 'i̇le')",4916321.294240698
36,"('i̇le', 'komi̇syonlardan')",4905913.205844434
37,"('enerji̇', 'tabi̇i̇')",4894008.09869125
38,"('fahretti̇n', 'poyraz')",4872160.022403269
39,"('denizcilik', 'haberleşme')",4805732.689706287
40,"('muhyetti̇n', 'aksak')",4751588.096236233
41,"('şükran', 'güldal')",4714457.148635456
42,"('pelin', 'gündeş')",4695027.857103805
43,"('sümer', 'oral')",4663297.515080596
44,"('gökcen', 'özdoğan')",4631004.749963814
45,"('sadullah', 'ergi̇n')",4627378.099525827
46,"('aykut', 'erdoğdu')",4606626.592394642
47,"('güldal', 'mumcu')",4595016.784804398
48,"('lütfi̇', 'elvan')",4577935.332665366
49,"('enine', 'boyuna')",4576848.036287403
50,"('müsli̇m', 'sari')",4573824.197379966
51,"('hali̇de', 'i̇ncekara')",4572535.095347901
52,"('sitki', 'güvenç')",4489927.096380743
53,"('meral', 'akşener')",4481558.997149863
54,"('süheyl', 'batum')",4466319.652691169
55,"('oktay', 'vural')",4458722.053077752
56,"('milliyetçi', 'hareket')",4446253.789547334
57,"('nejat', 'koçer')",4426285.185115766
58,"('mehdi̇', 'eker')",4415485.673434535
59,"('kağan', 'köksal')",4390598.03407699
60,"('özlem', 'yemi̇şçi̇')",4361720.996631623
61,"('sirri', 'sakik')",4351322.913163147
62,"('hasi̇p', 'kaplan')",4337461.4859492555
63,"('bilal', 'maci̇t')",4321946.442256992
64,"('mecli̇s', 'araştirmasi')",4315627.333262628
65,"('mevlüt', 'aslanoğlu')",4303397.951383026
66,"('kadir', 'gökmen')",4250419.641092124
67,"('musa', 'çam')",4249017.383395738
68,"('seyahatlerine', 'seyahatlerdeki')",4206391.310696836
69,"('zülfü', 'demi̇rbağ')",4195533.637809295
70,"('ali̇m', 'işik')",4192717.427454415
71,"('nevzat', 'korkmaz')",4170896.128732018
72,"('i̇lknur', 'deni̇zli̇')",4115543.098774343
73,"('önlemlerin', 'belirlenmesi')",4089971.3336196765
74,"('ökten', 'benimsenen')",4060106.0260498715
75,"('sadi', 'bilgiç')",4058110.10779498
76,"('birleşmiş', 'milletler')",4050117.076658156
77,"('esat', 'canan')",4026462.817676096
78,"('lök', 'beyaz')",4006891.1582980547
79,"('vaki', 'davetine')",3961992.828321731
80,"('metin', 'lütfi')",3958547.5519441464
81,"('tufan', 'köse')",3953519.3038032786
82,"('bedi̇i̇', 'süheyl')",3933371.411407404
83,"('beşi̇r', 'atalay')",3902028.6536030388
84,"('birgül', 'ayman')",3897492.8276721607
85,"('gülay', 'dalyan')",3877968.3443899094
86,"('veli̇', 'ağbaba')",3862707.918905287
87,"('pardus', 'işletim')",3860123.1982799694
88,"('bünyami̇n', 'özbek')",3833326.7923834776
89,"('haydar', 'akar')",3832204.1627451316
90,"('si̇nan', 'oğan')",3822083.6695784265
91,"('necati̇', 'özensoy')",3754538.593980028
92,"('gideri', 'i̇ptal')",3752532.258292746
93,"('zeynep', 'karahan')",3749080.038298818
94,"('sadi̇r', 'durmaz')",3729655.274047844
95,"('oya', 'eronat')",3684079.351657446
96,"('kamer', 'genç')",3680933.7612862703
97,"('enver', 'erdem')",3653583.7381444667
98,"('aytuğ', 'atici')",3636860.279416563
99,"('faili', 'meçhul')",3629568.3402097034
