,trigram,chi-sq
0,"('mecli̇s', 'araştirmasi', 'önergeleri̇')",321641726806.34485
1,"('tevfi̇k', 'zi̇yaeddi̇n', 'akbulut')",253714587182.66663
2,"('eyyüp', 'cenap', 'gülpinar')",217521637347.2055
3,"('tüyü', 'bitmemiş', 'yetimin')",200161475628.762
4,"('karadon', 'taşkömürü', 'i̇şletmesinde')",197024503908.19232
5,"('selma', 'ali̇ye', 'kavaf')",195586000211.7651
6,"('süreyya', 'sadi̇', 'bi̇lgi̇ç')",174376047552.11307
7,"('düşman', 'işgalinden', 'kurtuluşunun')",134232937732.4466
8,"('azi̇ze', 'si̇bel', 'gönül')",126415282069.22804
9,"('yuvarlak', 'pul', 'mühürlü')",113354447819.90532
10,"('vergilerde', 'çifte', 'vergilendirmeyi')",111724863291.41968
11,"('antidepresan', 'antipsikotik', 'ilaç')",96378600748.63379
12,"('personelden', 'asaleten', 'atananlara')",91804810732.04066
13,"('çifte', 'vergilendirmeyi', 'önleme')",84952121229.0507
14,"('düğmelerine', 'basarak', 'salonda')",80388852580.026
15,"('şükran', 'güldal', 'mumcu')",73698304864.83429
16,"('tabi̇i̇', 'bi̇lgi̇', 'teknoloji̇')",71899509258.15448
17,"('isnat', 'olunan', 'eylemin')",60752503900.956154
18,"('i̇şbi̇rli̇ği̇', 'anlaşmasinin', 'onaylanmasinin')",54935608364.87641
19,"('i̇mar', 'i̇çin', 'hükümete')",54510096028.23473
20,"('bölüm', 'maddeleri̇', 'bölümdeki̇')",52542833606.623
21,"('fehmi̇', 'hüsrev', 'kutlu')",51136089257.693275
22,"('ülkü', 'gökalp', 'güney')",50301844377.99628
23,"('kami̇l', 'erdal', 'si̇pahi̇')",49782907946.4809
24,"('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')",47102596535.16002
25,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",46833176165.38675
26,"('uygunluk', 'bildirimi', 'eki')",45444536155.92708
27,"('mali̇k', 'ecder', 'özdemi̇r')",44687190258.3024
28,"('bildirimi', 'eki', 'sunulduğuna')",44146806857.01134
29,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",42637994193.85706
30,"('tekli̇fleri̇', 'i̇le', 'komi̇syonlardan')",41668737622.04944
31,"('yardimcisi', 'cemi̇l', 'çi̇çek')",40001871060.43136
32,"('genetiği', 'değiştirilmiş', 'organizmalar')",38128949570.709335
33,"('veki̇li̇', 'recai̇', 'berber')",38084755399.28888
34,"('orhan', 'zi̇ya', 'di̇ren')",37520561958.47983
35,"('03', 'teşebbüs', 'mülkiyet')",37382961154.39251
36,"('istisnai', 'memuriyet', 'atamalara')",34322595515.060402
37,"('bölücü', 'terörü', 'bitirmesini')",34089684191.291103
38,"('türkler', 'akraba', 'topluluklar')",33528232089.65178
39,"('yazili', 'sorular', 'cevaplari')",32740701414.045723
40,"('fatma', 'salman', 'kotan')",31607988347.49815
41,"('mecli̇si̇', 'tutanak', 'dergi̇si̇')",31340404525.94104
42,"('başkani', 'sai̇t', 'açba')",29876126778.12288
43,"('sözcüsü', 'süreyya', 'sadi̇')",29578284152.159447
44,"('süresi', 'i̇çinde', 'cevaplanmayan')",29300148569.94474
45,"('mi̇llet', 'mecli̇si̇', 'tutanak')",27618851298.826923
46,"('ayla', 'akat', 'ata')",26995071372.36106
47,"('başkani', 'tevfi̇k', 'zi̇yaeddi̇n')",26721815852.875557
48,"('geli̇r', 'cetveli̇', 'kodu')",26183752603.055527
49,"('hükümleri', 'seçmen', 'kütükleri')",25283133803.461933
50,"('tasari', 'tekli̇fleri̇', 'i̇le')",24571327005.78695
51,"('birdal', 'emine', 'ayna')",23766197164.45707
52,"('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')",23211237212.17125
53,"('cetveli̇', 'kodu', '01')",22890583735.889503
54,"('ülkesi', 'milletiyle', 'bölünmez')",22572192204.97207
55,"('bölümler', 'görüşülecek', 'bölümlerde')",22450986053.643253
56,"('cumhuri̇yeti̇', 'hükümeti̇', 'arasinda')",21326249018.37164
57,"('kodu', '03', 'teşebbüs')",21101024054.41408
58,"('orhan', 'ziya', 'diren')",21034510300.39101
59,"('yardimcisi', 'nazim', 'ekren')",20611816817.429897
60,"('işgalinden', 'kurtuluşunun', 'dönümüne')",20565749900.940487
61,"('teşebbüs', 'mülkiyet', 'gelirleri')",20159230988.21923
62,"('azize', 'sibel', 'gönül')",19935434029.217854
63,"('hakki', 'suha', 'okay')",19748781269.45338
64,"('vermekten', 'kaçmak', 'malzeme')",19452631235.71297
65,"('elini', 'kolunu', 'sallayarak')",19378293784.86043
66,"('hürriyetlerini', 'evrensel', 'standarda')",17941545812.970722
67,"('sunuşlari', 'mecli̇s', 'araştirmasi')",17273586518.582203
68,"('fonu', 'i̇mar', 'i̇çin')",17224565293.948475
69,"('terörizmin', 'önlenmesi', 'sözleşmesinin')",16979613699.698975
70,"('ayşe', 'nur', 'bahçekapili')",16704315981.696909
71,"('vaki', 'davetine', 'icabetle')",16474708671.642181
72,"('kahramanmaraş', 'sütçü', 'i̇mam')",16455241920.884125
73,"('i̇çin', 'hükümete', 'yetki')",16141006692.508389
74,"('enerji̇', 'tabi̇i̇', 'kaynaklar')",15433036356.090399
75,"('bi̇lgi̇', 'teknoloji̇', 'komi̇syonu')",14903987475.0439
76,"('toplumsal', 'cinsiyetin', 'gözetilmesine')",14901289080.597044
77,"('sözcüsü', 'cahi̇t', 'bağci')",14481376845.623857
78,"('selahattin', 'demirtaş', 'gültan')",14044754340.702034
79,"('geylani', 'i̇brahim', 'binici')",13558628552.296806
80,"('terörü', 'bitirmesini', 'hayat')",12312705793.35171
81,"('başkani', 'burhan', 'kuzu')",12224465428.86115
82,"('tutanak', 'dergi̇si̇', 'birleşim')",12082855445.656366
83,"('dişi', 'konuşmalar', 'mi̇lletveki̇lleri̇ni̇n')",12026970034.32346
84,"('umum', 'vazifeleri', 'kanunda')",11921819020.532518
85,"('gaye', 'mobbingle', 'mücadeleye')",11560442302.861816
86,"('4733', 'tuz', 'alkol')",10946162429.819132
87,"('önergelerini', 'görüşmüyor', 'gündemin')",10784451099.689669
88,"('pullardan', 'beyaz', 'yeşil')",10657571609.712564
89,"('feri̇t', 'mevlüt', 'aslanoğlu')",10424113371.376738
90,"('bölünmez', 'bütünlüğünü', 'üniter')",10414077890.076153
91,"('bilgisine', 'önergelerin', 'gündemdeki')",10370315895.826475
92,"('belirleyen', 'kanunlar', 'hiyerarşisinin')",9876977247.488464
93,"('sözcüsü', 'sedat', 'kizilcikli')",9825382191.38594
94,"('üzerinden', 'vergilerde', 'çifte')",9673968619.222427
95,"('sözcüsü', 'tuğrul', 'yemi̇şci̇')",9618251054.33066
96,"('kamil', 'erdal', 'sipahi')",9540058066.120102
97,"('bitirmesini', 'hayat', 'işsizliğin')",8920120626.842539
98,"('çekimser', 'boş', 'geçersiz')",8872915657.00433
99,"('önergelerin', 'gündemdeki', 'yerlerini')",8858662232.95332
