,Frequency,PMI,t-test,Chi-Sq Test
0,"('kabul', 'kabul')","('seracetti̇n', 'karayağiz')","('kabul', 'kabul')","('afi̇f', 'demi̇rkiran')"
1,"('soru', 'önergesi')","('antidepresan', 'antipsikotik')","('soru', 'önergesi')","('azi̇ze', 'si̇bel')"
2,"('millet', 'meclisi')","('azi̇ze', 'si̇bel')","('millet', 'meclisi')","('bi̇hlun', 'tamayligi̇l')"
3,"('büyük', 'millet')","('i̇lknur', 'i̇nceöz')","('büyük', 'millet')","('cahi̇t', 'bağci')"
4,"('türkiye', 'büyük')","('nursuna', 'memecan')","('türkiye', 'büyük')","('sadi̇', 'bi̇lgi̇ç')"
5,"('bir', 'bir')","('maddeleri̇', 'bölümdeki̇')","('önergesi', 'geliş')","('selahatti̇n', 'demi̇rtaş')"
6,"('önergesi', 'geliş')","('hali̇de', 'i̇ncekara')","('otomatik', 'cihaz')","('seracetti̇n', 'karayağiz')"
7,"('otomatik', 'cihaz')","('cinsiyetin', 'gözetilmesine')","('başkan', 'teşekkür')","('sirri', 'sakik')"
8,"('başkan', 'teşekkür')","('zi̇ya', 'di̇ren')","('dair', 'kanun')","('tevfi̇k', 'zi̇yaeddi̇n')"
9,"('dair', 'kanun')","('peş', 'peşe')","('arz', 'teklif')","('şerafetti̇n', 'hali̇s')"
10,"('böyle', 'bir')","('cahi̇t', 'bağci')","('yer', 'alan')","('mi̇llet', 'mecli̇si̇')"
11,"('yer', 'alan')","('piri', 'reis')","('oktay', 'vural')","('lütfi̇', 'çirakoğlu')"
12,"('arz', 'teklif')","('alev', 'dedegil')","('partisi', 'grubu')","('bi̇lgi̇n', 'paçariz')"
13,"('oktay', 'vural')","('tüyü', 'bitmemiş')","('böyle', 'bir')","('salman', 'kotan')"
14,"('partisi', 'grubu')","('sütçü', 'i̇mam')","('cumhuriyet', 'halk')","('otomatik', 'cihaz')"
