,bigram,PMI
0,"('seracetti̇n', 'karayağiz')",17.97774930500863
1,"('antidepresan', 'antipsikotik')",17.847056717808993
2,"('azi̇ze', 'si̇bel')",17.62982600158832
3,"('i̇lknur', 'i̇nceöz')",17.55405849397036
4,"('nursuna', 'memecan')",17.530290328037406
5,"('maddeleri̇', 'bölümdeki̇')",17.49399905564577
6,"('hali̇de', 'i̇ncekara')",17.467554572689444
7,"('cinsiyetin', 'gözetilmesine')",17.34031938439334
8,"('zi̇ya', 'di̇ren')",17.294222969803883
9,"('peş', 'peşe')",17.240783710842422
10,"('cahi̇t', 'bağci')",17.18925341020234
11,"('piri', 'reis')",16.898188927019312
12,"('alev', 'dedegil')",16.89286040742212
13,"('tüyü', 'bitmemiş')",16.818884960257222
14,"('sütçü', 'i̇mam')",16.817231123365204
15,"('omuz', 'omuza')",16.74995430339017
16,"('dengir', 'mir')",16.74482621618001
17,"('i̇dri̇s', 'güllüce')",16.70886602067538
18,"('fevzi̇', 'şanverdi̇')",16.612752488229383
19,"('sai̇t', 'açba')",16.608007891382634
20,"('teki̇n', 'bi̇ngöl')",16.56271180572979
21,"('i̇lim', 'yayma')",16.514348784168387
22,"('tevfik', 'ziyaeddin')",16.486933958843025
23,"('garp', 'linyitleri')",16.467554572689448
24,"('abdulkerim', 'aydemir')",16.438315563925322
25,"('apar', 'topar')",16.437180923645926
26,"('lütfi̇', 'çirakoğlu')",16.422230582179957
27,"('mücahi̇t', 'findikli')",16.349718082395587
28,"('derviş', 'günday')",16.301146290273238
29,"('denizlerle', 'çevrili')",16.26215736163499
30,"('bi̇hlun', 'tamayligi̇l')",16.253959099590155
31,"('abdi', 'i̇pekçi')",16.252420881040674
32,"('deyim', 'yerindeyse')",16.22362898980336
33,"('feyzullah', 'kiyiklik')",16.18925341020234
34,"('ahi', 'evran')",16.188801508854592
35,"('fai̇k', 'öztrak')",16.176653373422706
36,"('safiye', 'seymenoğlu')",16.161239034032747
37,"('şerafetti̇n', 'hali̇s')",16.13950037500524
38,"('hayrettin', 'çakmak')",16.13846021991989
39,"('araştirmasi', 'önergeleri̇')",16.105737033638366
40,"('afi̇f', 'demi̇rkiran')",16.103280187092487
41,"('hi̇lmi̇', 'güler')",16.0914060868042
42,"('deği̇şi̇kli̇k', 'yapilmasina')",16.064164056826108
43,"('ülkü', 'gökalp')",16.048685211819578
44,"('ali̇ye', 'kavaf')",16.044863500867166
45,"('mecli̇s', 'araştirmasi')",16.03345873759492
46,"('lokman', 'ayva')",16.020410457142624
47,"('abdurrezzak', 'erten')",16.01055545009187
48,"('ekteki', 'cetveldeki')",15.991660199783453
49,"('seve', 'seve')",15.97447417297577
50,"('asaleten', 'atananlara')",15.948557592293849
51,"('kerem', 'altun')",15.9424267705557
52,"('tunca', 'toskay')",15.940274599589966
53,"('fatoş', 'gürkan')",15.933453727027961
54,"('fethullah', 'gülen')",15.927625825582794
55,"('deni̇z', 'bölükbaşi')",15.85221842292477
56,"('düğmelerine', 'basarak')",15.846401096329455
57,"('umum', 'vazifeleri')",15.843494330101134
58,"('i̇smai̇l', 'bi̇len')",15.842234334352144
59,"('selahatti̇n', 'demi̇rtaş')",15.822471079530716
60,"('müteaddit', 'defalar')",15.819203365696808
61,"('nazim', 'ekren')",15.802974903904923
62,"('üyeliğinden', 'çekildiğine')",15.765384343959777
63,"('i̇zzet', 'baysal')",15.736741205504838
64,"('bas', 'bas')",15.73574176310886
65,"('i̇brahi̇m', 'bi̇ni̇ci̇')",15.725609540278127
66,"('erteki̇n', 'çolak')",15.709260469082729
67,"('avni̇', 'erdemi̇r')",15.687565397983406
68,"('opera', 'balesi')",15.661973437102864
69,"('i̇brahi̇m', 'hasgür')",15.64413383827221
70,"('bölümlerinin', 'ekteki')",15.632117813096313
71,"('tevfi̇k', 'zi̇yaeddi̇n')",15.629826001588322
72,"('öznur', 'çalik')",15.61275248822938
73,"('hac', 'umre')",15.610208799575904
74,"('sadik', 'badak')",15.596546032325897
75,"('gayri', 'safi')",15.593855456814874
76,"('bi̇lgi̇', 'teknoloji̇')",15.565055746198086
77,"('kürşad', 'tüzmen')",15.54474227539048
78,"('kol', 'kola')",15.530290328037408
79,"('bitmemiş', 'yetimin')",15.521828749289213
80,"('karadon', 'taşkömürü')",15.520498825627563
81,"('turkcell', 'süper')",15.511321091470817
82,"('musa', 'sivacioğlu')",15.49076196385077
83,"('muhyetti̇n', 'aksak')",15.490761963850769
84,"('i̇lhan', 'kesi̇ci̇')",15.467554572689444
85,"('hami̇t', 'geylani̇')",15.459901000146006
86,"('görüşülecek', 'bölümlerde')",15.458739877314006
87,"('talim', 'terbiye')",15.445616774139765
88,"('kot', 'taşlama')",15.382191689048275
89,"('sülfürik', 'asit')",15.363282809977392
90,"('i̇ktisadi', 'teşebbüsleri')",15.359930976135429
91,"('celal', 'erbay')",15.343785687480551
92,"('alaatti̇n', 'büyükkaya')",15.341934230700375
93,"('i̇daresi̇', 'başkanliği')",15.33832753671964
94,"('gölge', 'düşürülen')",15.337554173737486
95,"('üvey', 'evlat')",15.320858096307347
96,"('taşkömürü', 'i̇şletmesinde')",15.318470516050562
97,"('lutfi̇', 'elvan')",15.287433804141246
98,"('gürcan', 'dağdaş')",15.279867676826813
99,"('kongo', 'ateşi')",15.257795592954551
