,Frequency,PMI,t-test,Chi-Sq Test
0,"('türkiye', 'büyük', 'millet')","('tüyü', 'bitmemiş', 'yetimin')","('türkiye', 'büyük', 'millet')","('mecli̇s', 'araştirmasi', 'önergeleri̇')"
1,"('kabul', 'kabul', 'kabul')","('karadon', 'taşkömürü', 'i̇şletmesinde')","('kabul', 'kabul', 'kabul')","('tevfi̇k', 'zi̇yaeddi̇n', 'akbulut')"
2,"('soru', 'önergesi', 'geliş')","('mecli̇s', 'araştirmasi', 'önergeleri̇')","('soru', 'önergesi', 'geliş')","('eyyüp', 'cenap', 'gülpinar')"
3,"('büyük', 'millet', 'meclisi')","('eyyüp', 'cenap', 'gülpinar')","('büyük', 'millet', 'meclisi')","('tüyü', 'bitmemiş', 'yetimin')"
4,"('otomatik', 'cihaz', 'başkan')","('yuvarlak', 'pul', 'mühürlü')","('otomatik', 'cihaz', 'başkan')","('karadon', 'taşkömürü', 'i̇şletmesinde')"
5,"('cumhuriyet', 'halk', 'partisi')","('antidepresan', 'antipsikotik', 'ilaç')","('cumhuriyet', 'halk', 'partisi')","('selma', 'ali̇ye', 'kavaf')"
6,"('maddeyi', 'kabul', 'kabul')","('azi̇ze', 'si̇bel', 'gönül')","('maddeyi', 'kabul', 'kabul')","('süreyya', 'sadi̇', 'bi̇lgi̇ç')"
7,"('milliyetçi', 'hareket', 'partisi')","('selma', 'ali̇ye', 'kavaf')","('milliyetçi', 'hareket', 'partisi')","('düşman', 'işgalinden', 'kurtuluşunun')"
8,"('kabul', 'kabul', 'madde')","('personelden', 'asaleten', 'atananlara')","('kabul', 'kabul', 'madde')","('azi̇ze', 'si̇bel', 'gönül')"
9,"('meclisi', 'görüşülmekte', 'olan')","('tevfi̇k', 'zi̇yaeddi̇n', 'akbulut')","('meclisi', 'görüşülmekte', 'olan')","('yuvarlak', 'pul', 'mühürlü')"
10,"('millet', 'meclisi', 'görüşülmekte')","('düğmelerine', 'basarak', 'salonda')","('millet', 'meclisi', 'görüşülmekte')","('vergilerde', 'çifte', 'vergilendirmeyi')"
11,"('ilişkin', 'başbakandan', 'soru')","('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')","('ilişkin', 'başbakandan', 'soru')","('antidepresan', 'antipsikotik', 'ilaç')"
12,"('başbakandan', 'soru', 'önergesi')","('bölüm', 'maddeleri̇', 'bölümdeki̇')","('başbakandan', 'soru', 'önergesi')","('personelden', 'asaleten', 'atananlara')"
13,"('değişiklik', 'dair', 'kanun')","('düşman', 'işgalinden', 'kurtuluşunun')","('değişiklik', 'dair', 'kanun')","('çifte', 'vergilendirmeyi', 'önleme')"
14,"('sözlü', 'soru', 'önergesi')","('genetiği', 'değiştirilmiş', 'organizmalar')","('sözlü', 'soru', 'önergesi')","('düğmelerine', 'basarak', 'salonda')"
