,trigram,PMI
0,"('i̇spirto', 'i̇spirtolu', 'i̇çkiler')",34.41234769290868
1,"('gerçekleşmeyen', 'gerçekleşemeyecek', 'projeleriniz')",32.78165467057213
2,"('abant', 'i̇zzet', 'baysal')",31.918863310405285
3,"('şevket', 'bülend', 'yahni̇ci̇')",31.052950780565048
4,"('sovyet', 'sosyalist', 'cumhuriyetler')",30.79658165804739
5,"('investment', 'holding', 'company')",30.723596326934544
6,"('milletvekilliğinin', 'demokrasimizin', 'gelişmesinin')",30.702394165991628
7,"('deği̇şi̇kli̇k', 'yapilmasi', 'hakkinda')",30.588768520686504
8,"('born', 'investment', 'holding')",30.508583435963697
9,"('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')",30.35179409229365
10,"('oya', 'akgönenç', 'muği̇suddi̇n')",30.32658250949103
11,"('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')",30.318390934026436
12,"('seçi̇mler', 'komi̇syonlarda', 'açik')",30.27676726570443
13,"('cafer', 'tufan', 'yazicioğlu')",30.2387061026473
14,"('işaretli', 'cetvelde', 'gösterildiği')",29.89916563778415
15,"('üvey', 'evlat', 'muamelesi')",29.861236284279205
16,"('önlenemez', 'suçlu', 'milletvekilliğinin')",29.826205340854816
17,"('i̇kmal', 'nato', 'pol')",29.80383252845864
18,"('açiklamalar', 'sataşmalara', 'i̇li̇şki̇n')",29.55184195168815
19,"('uygunluk', 'bildiriminin', 'sunulduğuna')",29.46094638273392
20,"('vergilerde', 'çifte', 'vergilendirmeyi')",29.419448917481866
21,"('düğmelerine', 'basarak', 'salonda')",29.289042479260683
22,"('projeleriniz', 'projelerin', 'gerçekleşmeme')",29.15414833329289
23,"('gerçekleşemeyecek', 'projeleriniz', 'projelerin')",29.06256478313236
24,"('adnan', 'fati̇n', 'özdemi̇r')",28.898030203737704
25,"('kemik', 'iliği', 'nakli')",28.853555834979883
26,"('suçlu', 'milletvekilliğinin', 'demokrasimizin')",28.841439854549968
27,"('2004', 'i̇cra', 'i̇flas')",28.742441884657037
28,"('sonucunu', 'özetleyen', 'günlü')",28.672178937131008
29,"('makine', 'kimya', 'endüstrisi')",28.635980854392475
30,"('adnan', 'fatin', 'özdemir')",28.57881139610833
31,"('dönemi', 'hedeflerini', 'gerçekleştirebildiniz')",28.55688365522005
32,"('bayram', 'firat', 'dayanikli')",28.524230319944536
33,"('1050', 'muhasebei', 'umumiye')",28.51737736832454
34,"('döneminde', 'gerçekleşmeyen', 'gerçekleşemeyecek')",28.428075369564674
35,"('başkanveki̇li̇', 'hayretti̇n', 'özdemi̇r')",28.37189807292591
36,"('melek', 'denli', 'karaca')",28.337709697670572
37,"('mahmut', 'nedi̇m', 'bi̇lgi̇ç')",28.317762410736965
38,"('şükrü', 'si̇na', 'gürel')",28.30431588450488
39,"('oturum', 'başkanlarinin', 'konuşmalari')",28.26660839192389
40,"('halkla', 'i̇lişkiler', 'müşavirliği')",28.257591016604074
41,"('i̇şlenen', 'suçlardan', 'şartla')",28.25301257194385
42,"('gücüne', 'polisiye', 'olaylara')",28.1469297913118
43,"('komi̇syonlara', 'üye', 'seçi̇mi̇')",28.119461358879533
44,"('oybirliği', 'ekteki', 'müşterek')",28.116228909261505
45,"('maliki', 'ejder', 'arvas')",28.014860962004807
46,"('tekliflerinin', 'görüşülmeyen', 'maddeleriyle')",27.93698837688453
47,"('ülkesi', 'milletiyle', 'bölünmez')",27.902107262708885
48,"('isnat', 'olunan', 'eylemin')",27.8481655800158
49,"('bi̇lgi̇', 'teknoloji̇', 'komi̇syonu')",27.71607002824585
50,"('telefon', 'i̇daresinin', 'biriktirme')",27.682128122255893
51,"('edi̇p', 'safder', 'gaydali')",27.637548922022415
52,"('çifte', 'vergilendirmeyi', 'önleme')",27.63431502371985
53,"('ekteki', 'müşterek', 'önerilerinin')",27.626463468551655
54,"('mamullerinin', 'i̇ç', '4046')",27.59578529927574
55,"('çiftçilere', 'ödünç', 'tohumluk')",27.572142167190677
56,"('i̇lişkilerinin', 'düzenlenmesi', '3620')",27.468116656338093
57,"('sureti', 'ilişikte', '82')",27.46477799736174
58,"('kahramanmaraş', 'sütçü', 'i̇mam')",27.424466162291008
59,"('gerçekleşme', 'muhtemel', 'tamamlanma')",27.421804721251906
60,"('hali̇l', 'i̇brahi̇m', 'özsoy')",27.31748409193177
61,"('mahmut', 'nedim', 'bilgiç')",27.299154008783983
62,"('başkanlarinin', 'konuşmalari', 'tbmm')",27.258377061483134
63,"('pol', 'tesisleri', 'i̇şletme')",27.23151029383865
64,"('ömer', 'vehbi̇', 'hati̇poğlu')",27.209893272055275
65,"('kredilerinden', 'ertesi', 'devreden')",27.18125030677971
66,"('hükümleri', 'seçmen', 'kütükleri')",27.178851687821677
67,"('nato', 'pol', 'tesisleri')",27.132180293542184
68,"('olunan', 'eylemin', 'niteliği')",27.102032710900176
69,"('muhtemel', 'tamamlanma', 'tarihleri')",27.067181404799086
70,"('i̇lgili', 'i̇mtiyaz', 'şartlaşma')",27.06373632330477
71,"('abdullah', 'veli', 'seyda')",26.92260107592573
72,"('tabip', 'uzman', 'tabip')",26.876839306630682
73,"('emi̇n', 'karaa', 'çoğunluğumuz')",26.80954401143447
74,"('alaatti̇n', 'sever', 'aydin')",26.79111499982119
75,"('sataşmalara', 'i̇li̇şki̇n', 'konuşmalar')",26.747551161842672
76,"('başkani', 'emi̇n', 'karaa')",26.74605708750151
77,"('cahi̇t', 'savaş', 'yazici')",26.727378993193224
78,"('6183', 'amme', 'tahsil')",26.725500628840113
79,"('mustafa', 'ci̇han', 'paçaci')",26.717706848813467
80,"('gönül', 'saray', 'alphan')",26.69847829214198
81,"('i̇klim', 'gözönüne', 'hizmetlerinin')",26.67783942675376
82,"('ayşe', 'nazli', 'ilicak')",26.599974675405942
83,"('tuz', 'alkol', 'i̇şletmeleri')",26.591185444863786
84,"('4306', '4481', 'kanunlarda')",26.570289556616423
85,"('ertesi', 'bütçesine', 'devren')",26.5666515716823
86,"('i̇nfaz', 'tutukevleri', 'i̇zleme')",26.54144562677466
87,"('bakani', 'şuayi̇p', 'üşenmez')",26.523243013853246
88,"('ali̇', 'naci̇', 'tuncer')",26.511230108045847
89,"('suçu', 'isnat', 'olunan')",26.45345364209665
90,"('halil', 'i̇brahim', 'özsoy')",26.448939292144118
91,"('ahmet', 'sancar', 'sayin')",26.399157381875852
92,"('406', 'telgraf', 'telefon')",26.394451721768075
93,"('ödeneğin', 'nerelerde', 'gerekçesi')",26.38455082315987
94,"('projelerin', 'gerçekleşmeme', 'sebebi')",26.3722465902102
95,"('ali̇', 'şevki̇', 'erek')",26.343994194131174
96,"('bulunan', 'bankerlerin', 'i̇şlemleri')",26.329040194569576
97,"('yili', 'tutanak', 'dergi̇si̇')",26.302325416029348
98,"('sözcüsü', 'ni̇hat', 'gökbulut')",26.25062103910847
