,bigram,chi-sq
0,"('otomatik', 'cihaz')",56595.0
1,"('i̇dri̇s', 'baluken')",53493.32957215378
2,"('pervi̇n', 'buldan')",52819.19792053472
3,"('birleşmiş', 'milletler')",48594.03625198601
4,"('radyo', 'televizyon')",47011.01115583856
5,"('milliyetçi', 'hareket')",45123.1260469618
6,"('engi̇n', 'altay')",42437.99518669778
7,"('cumhuriyet', 'halk')",40947.162393855906
8,"('levent', 'gök')",40406.40721740669
9,"('mahi̇r', 'ünal')",39605.99350247525
10,"('oktay', 'vural')",39553.45003957435
11,"('süreyya', 'önder')",38898.05569310028
12,"('büyük', 'millet')",35129.411110598834
13,"('televizyon', 'üst')",34850.62914607697
14,"('doğan', 'kubat')",31493.70092356974
15,"('özgür', 'özel')",30793.19821742208
16,"('millet', 'meclisi')",28827.75379940099
17,"('osman', 'baydemi̇r')",27398.072647341298
18,"('tasnif', 'komisyonu')",27311.59215988868
19,"('türkiye', 'büyük')",26817.798305257766
20,"('ahmet', 'aydin')",25500.205734656625
21,"('i̇ç', 'tüzük')",20557.681477268743
22,"('mustafa', 'sezgin')",16789.295745803698
23,"('maddesine', 'göre')",16581.21994744631
24,"('bakanlar', 'kurulu')",12636.352082205683
25,"('millet', 'meclisinin')",11741.736982279503
26,"('11', 'temmuz')",11309.53843992914
27,"('hareket', 'partisi')",10473.919150337375
28,"('bugüne', 'kadar')",10417.910791542081
29,"('ak', 'parti̇')",10238.516085353125
30,"('temmuz', '2015')",10021.059743108697
31,"('ilişkin', 'sorusu')",9355.98034348834
32,"('genel', 'kurulun')",8804.262274058534
33,"('genel', 'kurula')",8570.77416949465
34,"('halk', 'partisi')",8484.29674576458
35,"('geçici', 'bakanlar')",8303.986157071771
36,"('terör', 'örgütü')",7969.536559749795
37,"('partisi', 'grubu')",7876.2790435839715
38,"('mehmet', 'doğan')",7830.154086386438
39,"('olmak', 'üzere')",6984.165293574977
40,"('söz', 'konusu')",6206.129538674388
41,"('i̇zmir', 'milletvekili')",5680.468666679395
42,"('siyasi', 'parti')",5511.843898314579
43,"('başkan', 'vekili')",5433.705733160635
44,"('grup', 'başkan')",5259.56618847853
45,"('i̇stanbul', 'milletvekili')",4836.02871907846
46,"('adalet', 'partisi')",4818.687897454342
47,"('ifade', 'etmek')",4742.204395273537
48,"('pkk', 'terör')",3749.5434895902436
49,"('türkiye', 'cumhuriyeti')",3456.158530695061
50,"('ilişkin', 'tezkeresi')",2709.103067644459
51,"('demokratik', 'partisi')",2290.4059019297965
52,"('başkan', 'teşekkür')",1798.695132860364
53,"('böyle', 'bir')",1488.2132722557028
54,"('milletvekili', 'mustafa')",1254.0764593824501
55,"('partisi', 'olarak')",940.2994602068567
56,"('herhangi', 'bir')",761.2965812378329
57,"('milletvekili', 'ahmet')",747.6296151969245
58,"('bir', 'şekilde')",559.6416047393038
59,"('parti̇', 'başkan')",386.0939139013409
60,"('yeni', 'bir')",301.72971775596767
61,"('ilgili', 'bir')",111.44210452485603
62,"('büyük', 'bir')",73.86604070172224
63,"('bir', 'bir')",13.680052813642392
