,bigram,chi-sq
0,"('başkanlarinin', 'konuşmalari')",8612853.0
1,"('dengi̇r', 'mi̇r')",8612853.0
2,"('muhsi̇n', 'koçyi̇ği̇t')",8573523.908650603
3,"('mi̇llet', 'mecli̇si̇')",8568455.85564781
4,"('nai̇l', 'kamaci')",8543111.315733042
5,"('bi̇hlun', 'tamayligi̇l')",8480346.584608069
6,"('seracetti̇n', 'karayağiz')",8464354.551717633
7,"('zekeri̇ya', 'akinci')",8297826.771110305
8,"('otomatik', 'cihaz')",8251946.034178199
9,"('necati̇', 'uzdi̇l')",8154063.437984859
10,"('bi̇lgi̇', 'teknoloji̇')",8119196.606181172
11,"('açiklamalar', 'sataşmalara')",8007792.395621589
12,"('i̇dri̇s', 'nai̇m')",7972219.239561091
13,"('sanayi̇', 'ti̇caret')",7892322.723208219
14,"('olumsuzca', 'etkilenmesine')",7807220.322885092
15,"('sorabilmeleri', 'şifrelerini')",7781961.261149407
16,"('seyfi̇', 'terzi̇başioğlu')",7769335.551226104
17,"('sürdükleri', 'oturumdaki')",7680460.0028469125
18,"('tarim', 'köyi̇şleri̇')",7634819.219307886
19,"('fahri̇', 'keski̇n')",7566034.902114325
20,"('nükhet', 'hotar')",7551325.153252617
21,"('takibinin', 'güçleştiği')",7549533.020841893
22,"('cemi̇l', 'çi̇çek')",7480849.951404322
23,"('selahatti̇n', 'beyri̇bey')",7471330.351279505
24,"('altan', 'karapaşaoğlu')",7466713.70315229
25,"('tasari', 'tekli̇fleri̇')",7421274.780380934
26,"('sai̇t', 'açba')",7360226.235815175
27,"('aklanma', 'engellememesi')",7342081.179910977
28,"('butonuna', 'sönmeye')",7163827.286119494
29,"('tuncay', 'ercenk')",7044831.143678955
30,"('düğmelerine', 'basarak')",6979320.345424148
31,"('yekta', 'haydaroğlu')",6948335.846983563
32,"('gecesini', 'gündüzüne')",6932289.87802411
33,"('müni̇r', 'erkal')",6916000.760005908
34,"('enine', 'boyuna')",6892428.892267089
35,"('rasi̇m', 'çakir')",6885734.976972323
36,"('soner', 'aksoy')",6879178.801741507
37,"('sabahatti̇n', 'yildiz')",6839935.1653059
38,"('mi̇raç', 'akdoğan')",6827248.048678788
39,"('abdülkadi̇r', 'aksu')",6809130.994875721
40,"('göksal', 'küçükali̇')",6725091.904026909
41,"('tevhidi', 'tedrisat')",6659233.139865967
42,"('ali̇m', 'tunç')",6627702.334679824
43,"('haşi̇m', 'oral')",6555255.815969001
44,"('resul', 'tosun')",6525234.654972161
45,"('oğuz', 'oyan')",6517895.293169916
46,"('oyunun', 'rengini')",6497881.9597159615
47,"('aki̇f', 'hamzaçebi̇')",6419954.5887559205
48,"('komi̇syonlarda', 'açik')",6357081.428308421
49,"('zülfü', 'demi̇rbağ')",6346187.466761004
50,"('nusret', 'bayraktar')",6317353.612424949
51,"('taci̇dar', 'seyhan')",6303911.863991349
52,"('algan', 'hacaloğlu')",6179671.431263439
53,"('birleşmiş', 'milletler')",6060220.772271784
54,"('dengir', 'mir')",6054234.048211032
55,"('eyyüp', 'sanay')",6040166.4934053635
56,"('tekli̇fleri̇', 'i̇le')",6010148.9271362685
57,"('üyeliğinden', 'çekildiğine')",5955767.331254223
58,"('burhan', 'kuzu')",5955039.524727573
59,"('maliki', 'ejder')",5911779.278663997
60,"('beki̇r', 'bozdağ')",5897393.6448174
61,"('fati̇h', 'arikan')",5897064.576365116
62,"('etkililik', 'ekonomiklik')",5881116.761375017
63,"('cavi̇t', 'torun')",5878244.783829077
64,"('bildiriminin', 'sunulduğuna')",5861242.688516409
65,"('ayşe', 'gülsün')",5859269.521024414
66,"('engi̇n', 'altay')",5845311.465736733
67,"('geceli', 'gündüzlü')",5813806.365148927
68,"('soru', 'önergesi')",5798805.8152254075
69,"('abdurrezzak', 'erten')",5785467.877427424
70,"('peş', 'peşe')",5779660.894637503
71,"('sataşmalara', 'i̇li̇şki̇n')",5770346.453358132
72,"('gerçekleşmesini', 'güçleştirici')",5767416.647731625
73,"('sisteme', 'giremeyen')",5757740.806902774
74,"('teklifleri', 'komisyonlardan')",5734362.767800353
75,"('üyeli̇klere', 'seçi̇m')",5721793.5311168
76,"('talim', 'terbiye')",5714724.533914458
77,"('i̇brahi̇m', 'özdoğan')",5709388.029501599
78,"('sali̇h', 'kapusuz')",5678518.28530686
79,"('i̇cra', 'i̇flas')",5655762.748187666
80,"('amerika', 'birleşik')",5593059.244018398
81,"('cengi̇z', 'kaptanoğlu')",5589764.238019207
82,"('i̇mdat', 'sütlüoğlu')",5568734.314732031
83,"('muhasebei', 'umumiye')",5495796.237906612
84,"('denetimli', 'serbestlik')",5486871.098658219
85,"('şaban', 'dişli')",5473621.980398403
86,"('tekrarlamak', 'vurmaktan')",5465123.54904956
87,"('deği̇şi̇kli̇k', 'yapilmasina')",5462595.616006137
88,"('riza', 'bodur')",5408768.974572997
89,"('ilçesi', 'köylerinin')",5394116.515836632
90,"('abdüllati̇f', 'şener')",5390834.226982333
91,"('haci', 'bi̇ner')",5384071.709184336
92,"('zeki̇', 'ergezen')",5383733.511288885
93,"('ümmet', 'kandoğan')",5363519.367543849
94,"('tevhi̇t', 'karakaya')",5325473.61039627
95,"('tezkereler', 'önergeler')",5298176.924746308
96,"('i̇le', 'komi̇syonlardan')",5267794.039351849
97,"('hudut', 'sahiller')",5244030.082406727
98,"('münasebetlerin', 'tanzimi')",5234383.064120776
99,"('deni̇z', 'baykal')",5219860.762858283
