,Frequency,PMI,t-test,Chi-Sq Test
0,"('türkiye', 'büyük', 'millet')","('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')","('türkiye', 'büyük', 'millet')","('ölçekli̇', 'i̇şletmeleri̇', 'geli̇şti̇rme')"
1,"('otomatik', 'cihaz', 'başkan')","('har', 'vurup', 'harman')","('otomatik', 'cihaz', 'başkan')","('har', 'vurup', 'harman')"
2,"('büyük', 'millet', 'meclisi')","('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')","('büyük', 'millet', 'meclisi')","('i̇şbi̇rli̇ği̇', 'koordi̇nasyon', 'ajansi')"
3,"('cumhuriyet', 'halk', 'partisi')","('seli̇n', 'sayek', 'böke')","('cumhuriyet', 'halk', 'partisi')","('seli̇n', 'sayek', 'böke')"
4,"('meral', 'daniş', 'beştaş')","('bi̇li̇msel', 'teknoloji̇k', 'araştirma')","('meral', 'daniş', 'beştaş')","('mi̇hri̇mah', 'belma', 'satir')"
5,"('meclisi', 'görüşülmekte', 'olan')","('zemzem', 'gülender', 'açanal')","('meclisi', 'görüşülmekte', 'olan')","('zemzem', 'gülender', 'açanal')"
6,"('millet', 'meclisi', 'görüşülmekte')","('i̇laç', 'tibbi̇', 'ci̇haz')","('millet', 'meclisi', 'görüşülmekte')","('bi̇li̇msel', 'teknoloji̇k', 'araştirma')"
7,"('değişiklik', 'dair', 'kanun')","('sahi̇l', 'güvenli̇k', 'komutanliği')","('değişiklik', 'dair', 'kanun')","('i̇zzet', 'ulvi̇', 'yönter')"
8,"('muhammet', 'emi̇n', 'akbaşoğlu')","('şehadet', 'şerbetini', 'içen')","('muhammet', 'emi̇n', 'akbaşoğlu')","('tüyü', 'bitmemiş', 'yetimin')"
9,"('grup', 'başkan', 'vekili')","('i̇zzet', 'ulvi̇', 'yönter')","('grup', 'başkan', 'vekili')","('i̇laç', 'tibbi̇', 'ci̇haz')"
10,"('bir', 'an', 'önce')","('ekteki', 'cetveldeki', 'şekliyle')","('bir', 'an', 'önce')","('abdul', 'ahat', 'andi̇can')"
11,"('başkan', 'komisyon', 'önergeye')","('tüyü', 'bitmemiş', 'yetimin')","('başkan', 'komisyon', 'önergeye')","('sahi̇l', 'güvenli̇k', 'komutanliği')"
12,"('i̇yi̇', 'parti̇', 'grubu')","('abdul', 'ahat', 'andi̇can')","('i̇yi̇', 'parti̇', 'grubu')","('şehadet', 'şerbetini', 'içen')"
13,"('milliyetçi', 'hareket', 'partisi')","('artos', 'çarparak', 'düşmesi')","('milliyetçi', 'hareket', 'partisi')","('ekteki', 'cetveldeki', 'şekliyle')"
14,"('önergeyi', 'kabul', 'kabul')","('muhasebe', 'deneti̇m', 'standartlari')","('önergeyi', 'kabul', 'kabul')","('vergilerde', 'çifte', 'vergilendirmeyi')"
