,bigram,chi-sq
0,"('başkanlarinin', 'konuşmalari')",6992519.0
14,"('nuretti̇n', 'cani̇kli̇')",6992519.0
25,"('ölçekli̇', 'i̇şletmeleri̇')",6992519.0
24,"('vehbi̇', 'bakirlioğlu')",6992519.0
23,"('vahi̇t', 'ki̇ler')",6992519.0
22,"('tutukevleri̇', 'i̇şyurtlari')",6992519.0
21,"('tibbi̇', 'ci̇haz')",6992519.0
20,"('si̇vi̇l', 'havacilik')",6992519.0
19,"('semi̇ha', 'eki̇nci̇')",6992519.0
18,"('selami̇', 'altinok')",6992519.0
17,"('selahatti̇n', 'mi̇nsolmaz')",6992519.0
1,"('feri̇dun', 'bahşi̇')",6992519.0
15,"('nusretti̇n', 'maçi̇n')",6992519.0
16,"('sali̇he', 'aydeni̇z')",6992519.0
13,"('ni̇hat', 'yeşi̇l')",6992519.0
6,"('mesleki̇', 'yeterli̇li̇k')",6992519.0
2,"('haklari', 'eşi̇tli̇k')",6992519.0
3,"('hali̇s', 'dalkiliç')",6992519.0
12,"('nevi̇n', 'taşliçay')",6992519.0
5,"('ki̇şi̇sel', 'veri̇leri̇')",6992519.0
4,"('i̇şletmeleri̇', 'geli̇şti̇rme')",6992519.0
7,"('mi̇llet', 'mecli̇si̇')",6992519.0
8,"('nazim', 'mavi̇ş')",6992519.0
9,"('nazir', 'ci̇hangi̇r')",6992519.0
10,"('neci̇p', 'nasir')",6992519.0
11,"('nesli̇han', 'hancioğlu')",6992519.0
26,"('habi̇p', 'eksi̇k')",6970389.778436106
27,"('di̇lan', 'taşdemi̇r')",6937238.402265507
28,"('di̇rayet', 'di̇lan')",6937238.402265507
29,"('zemzem', 'gülender')",6908270.795169138
30,"('deni̇z', 'yavuzyilmaz')",6898657.711367914
31,"('cumhurbaşkani', 'yardimcisi')",6878143.668733586
32,"('otomatik', 'cihaz')",6823541.796971319
33,"('tacetti̇n', 'bayir')",6808504.3684159005
34,"('bi̇li̇msel', 'teknoloji̇k')",6792731.771423847
35,"('tahi̇r', 'akyürek')",6673216.351312922
36,"('nurhayat', 'altaca')",6637036.296131962
37,"('peş', 'peşe')",6478358.558781793
38,"('abdul', 'ahat')",6391589.34358176
39,"('sali̇h', 'cora')",6363146.879435429
40,"('canla', 'başla')",6339894.8652198175
41,"('celaletti̇n', 'güvenç')",6333521.847764164
42,"('veli̇', 'ağbaba')",6331895.895237856
43,"('tekli̇fleri̇', 'i̇le')",6308946.674137332
44,"('i̇le', 'komi̇syonlardan')",6302467.513021845
45,"('hamdi̇', 'çamli')",6293254.499772954
46,"('apar', 'topar')",6287919.148082886
47,"('emi̇n', 'akbaşoğlu')",6270666.440446036
48,"('cavi̇t', 'ari')",6261932.237945319
49,"('ci̇han', 'pektaş')",6236567.432415595
50,"('zülfü', 'demi̇rbağ')",6213609.45630858
51,"('rümeysa', 'kadak')",6210515.10377786
52,"('daniş', 'beştaş')",6185860.2402084805
53,"('sabahat', 'özgürsoy')",6181056.608604779
54,"('metanet', 'çulhaoğlu')",6180307.376996004
55,"('ci̇hat', 'sezal')",6175203.636286343
56,"('habi̇be', 'öçal')",6136276.387463689
57,"('mahi̇r', 'başarir')",6109778.231170986
58,"('ati̇la', 'sertel')",6102182.913148401
59,"('dergi̇si̇', 'birleşim')",6068942.300447915
60,"('i̇shak', 'gazel')",6002023.98639853
61,"('i̇sti̇hbarat', 'teşki̇lati')",5995561.754471511
62,"('dirayet', 'dilan')",5991513.913238417
63,"('baki̇', 'şi̇mşek')",5971238.372563491
64,"('keresteci̇oğlu', 'demi̇r')",5849239.4971582545
65,"('mücahi̇t', 'durmuşoğlu')",5838214.566960225
66,"('kemalbay', 'pekgözegü')",5835217.685638741
67,"('sataşmalara', 'i̇li̇şki̇n')",5807848.417343046
68,"('şeyhmus', 'di̇nçel')",5783281.7667130055
69,"('ebrü', 'günay')",5740145.444465661
70,"('sorgusuz', 'sualsiz')",5731005.882039832
71,"('türabi̇', 'kayan')",5678465.84524411
72,"('yediden', 'yetmişe')",5678128.691691711
73,"('hayati̇', 'arkaz')",5655749.363128293
74,"('sabiha', 'gökçen')",5653046.584223553
75,"('bi̇çer', 'karaca')",5647763.421864051
76,"('aki̇f', 'hamzaçebi̇')",5613325.894675554
77,"('abdulkadi̇r', 'karaduman')",5584499.865309159
78,"('sevda', 'erdan')",5529647.414348323
79,"('fethi̇', 'gürer')",5490463.196685524
80,"('teki̇n', 'bi̇ngöl')",5482964.974522723
81,"('acar', 'başaran')",5476000.756173725
82,"('garo', 'paylan')",5467148.599118596
83,"('di̇ğer', 'i̇şler')",5445687.693642177
84,"('adi̇l', 'karai̇smai̇loğlu')",5403298.545370006
85,"('tabi̇i̇', 'bi̇lgi̇')",5382325.6676330725
86,"('nejat', 'koçer')",5370994.1270652795
87,"('fi̇li̇z', 'keresteci̇oğlu')",5365059.998806353
88,"('öznur', 'çalik')",5339702.0717732115
89,"('şenel', 'yedi̇yildiz')",5324558.889673253
90,"('ulvi̇', 'yönter')",5289198.717827453
91,"('emeklilikte', 'yaşa')",5264528.314471161
92,"('odalar', 'borsalar')",5260240.379105994
93,"('lütfü', 'türkkan')",5238791.430760566
94,"('züleyha', 'gülüm')",5226659.939200196
95,"('enine', 'boyuna')",5221091.058460022
96,"('burcu', 'köksal')",5213312.87766172
97,"('ravza', 'kavakci')",5201720.694576823
98,"('vural', 'çokal')",5163655.383196088
99,"('fatin', 'rüştü')",5141106.243769496
